"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.71850192070782,0.00764760552989525,-1009.27040372773,0,-7.73350586212345,-7.70352774034605,53378.8720602731,53554.8308759013
"HBS08000016",-0.0363317709677363,0.0115734856670518,-3.13922460466411,0.0016939555528444,-0.0590622115051983,-0.0136943629405855,53378.8720602731,53554.8308759013
"HBS08000017",0.118106495384071,0.00992278173210189,11.9025590376514,1.14772783803722e-32,0.0986342610043019,0.13753120228012,53378.8720602731,53554.8308759013
"HBS08000019",-0.0681416827656497,0.00841356699561035,-8.0990242071171,5.54017605317866e-16,-0.0846380904983061,-0.0516573115678284,53378.8720602731,53554.8308759013
"HBS08000020",-0.0783653100656325,0.00719421285514538,-10.8928261706331,1.24709077299689e-27,-0.0924595868775154,-0.0642586625621909,53378.8720602731,53554.8308759013
"HBS08000022",-0.115273870405819,0.0083942131079102,-13.7325403732236,6.48202316839702e-43,-0.13173213455291,-0.0988272258099578,53378.8720602731,53554.8308759013
"HBS08000024",-0.135496919599049,0.00674331078183828,-20.0935303121402,8.40668563045186e-90,-0.148703404659009,-0.122270002455512,53378.8720602731,53554.8308759013
"HBS08000025",-0.445477234561302,0.036788861574318,-12.1090247291666,9.4612398129441e-34,-0.518430227469456,-0.374181184507825,53378.8720602731,53554.8308759013
"HBS08000026",-0.0486880390200129,0.0249047429741486,-1.95497054800171,0.0505865466336892,-0.0978678229667995,-0.000225112921574668,53378.8720602731,53554.8308759013
"HBS08000028",0.113359664668877,0.0230009685638956,4.92847352727643,8.28745609560222e-07,0.0679752042611576,0.158145176549916,53378.8720602731,53554.8308759013
"HBS08000029",-0.140428903431265,0.00812601693091033,-17.2813943934933,6.49584323834726e-67,-0.156358664821248,-0.124505079232363,53378.8720602731,53554.8308759013
"HBS08000030",0.0937272126631207,0.00746836838185403,12.5498914717237,3.98055217060311e-36,0.0790930172087082,0.108368624789124,53378.8720602731,53554.8308759013
"HBS08000031",0.154702940483738,0.00625150513646594,24.7465109772258,3.38036126348706e-135,0.142464482468939,0.166970025645952,53378.8720602731,53554.8308759013
"HBS08000032",-0.335737473486665,0.00740987514468609,-45.3094643203854,0,-0.350256465679188,-0.321210149880978,53378.8720602731,53554.8308759013
"CancerTypeCervical",-2.86578354550886,0.0144079089099155,-198.903502474022,0,-2.89414263937945,-2.83766254919057,53378.8720602731,53554.8308759013
"CancerTypeColorectal",-0.39415202828555,0.00520888146855246,-75.6692258530285,0,-0.404364612706772,-0.383946107318156,53378.8720602731,53554.8308759013
"CancerTypeHead & Neck",-1.44028085957303,0.00756259932882478,-190.447860179953,0,-1.45512597769778,-1.42548095914327,53378.8720602731,53554.8308759013
"CancerTypeLung",-0.126731235103552,0.00483304307692387,-26.2218302395545,1.49829191782074e-151,-0.136204765988636,-0.117259532928077,53378.8720602731,53554.8308759013
"CancerTypeLymphoma",-1.52929646333433,0.00787121184665893,-194.28983657497,0,-1.54474952329066,-1.5138947346657,53378.8720602731,53554.8308759013
"CancerTypeMelanoma",-1.36142037153637,0.00732768565896992,-185.791317326752,0,-1.37580282052449,-1.34707865851702,53378.8720602731,53554.8308759013
"CancerTypeOvarian",-2.33935264508356,0.0111915490617436,-209.028493926746,0,-2.36135431368675,-2.3174834877624,53378.8720602731,53554.8308759013
"CancerTypeUpper GI",-0.674606897289677,0.00569019583341681,-118.556007040727,0,-0.685766213233805,-0.663460973438708,53378.8720602731,53554.8308759013
"CancerTypeUrological",0.0518079947425284,0.00461807764553633,11.218519635027,3.30760818630614e-29,0.0427570919017727,0.0608596717178259,53378.8720602731,53554.8308759013
"Date",-0.00313327887645741,0.000659855793690278,-4.74842974240536,2.05002077555232e-06,-0.00442606695292604,-0.00183947472070605,53378.8720602731,53554.8308759013
"DateSquared",0.000214766582142366,1.97384629002551e-05,10.8806133095394,1.42600251850578e-27,0.000176067526508346,0.000253441024084517,53378.8720602731,53554.8308759013
"Pandemic_cat",-0.327087494501528,0.00999815449069956,-32.7147869945188,9.62440531696204e-235,-0.346703856089011,-0.307511655599394,53378.8720602731,53554.8308759013
"JustPandemic",0.040844415130133,0.00237815605290903,17.1748254620091,4.09883761517646e-66,0.0361839732698576,0.0455062082355459,53378.8720602731,53554.8308759013
