"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.75503586069627,0.00688703435529433,-1126.03414773656,0,-7.76854938160297,-7.74155263678411,53494.8392689447,53664.2810914015
"HBS08000016",-0.0363102615160956,0.0115734873396767,-3.13736564013988,0.00170473387261761,-0.0590407042766436,-0.0136728512459915,53494.8392689447,53664.2810914015
"HBS08000017",0.118098764055656,0.00992278135667449,11.9017803386565,1.15848942280441e-32,0.0986265303372343,0.137523470286918,53494.8392689447,53664.2810914015
"HBS08000019",-0.0681659779446435,0.008413566548069,-8.10191225744667,5.41019594185708e-16,-0.0846623846295258,-0.0516816077961456,53494.8392689447,53664.2810914015
"HBS08000020",-0.0784478184123092,0.00719420862999701,-10.9043012855108,1.09934583812998e-27,-0.0925420867977316,-0.0643411793207606,53494.8392689447,53664.2810914015
"HBS08000022",-0.11529664849558,0.00839421283436314,-13.7352543675797,6.24364026498021e-43,-0.131754911961222,-0.0988500045821511,53494.8392689447,53664.2810914015
"HBS08000024",-0.135497597146818,0.00674330919563528,-20.0936355157081,8.38888966131144e-90,-0.148704078977318,-0.122270683222859,53494.8392689447,53664.2810914015
"HBS08000025",-0.443962322975489,0.0367885937308328,-12.0679340510752,1.56001636636897e-33,-0.516914823140172,-0.372666789172024,53494.8392689447,53664.2810914015
"HBS08000026",-0.0486208941709608,0.0249047131222958,-1.95227682134725,0.0509053478096228,-0.097800675373351,-0.000157972127760816,53494.8392689447,53664.2810914015
"HBS08000028",0.114003181901529,0.0230008890760911,4.95646848799565,7.17860037576787e-07,0.0686188513448499,0.158788560251471,53494.8392689447,53664.2810914015
"HBS08000029",-0.140427640744541,0.0081260167793947,-17.2812393275665,6.5133318348594e-67,-0.156357401765948,-0.124503816914494,53494.8392689447,53664.2810914015
"HBS08000030",0.0937638517494522,0.00746836913432954,12.5547961091602,3.74143761012499e-36,0.0791296549789045,0.10840526519017,53494.8392689447,53664.2810914015
"HBS08000031",0.154712683372801,0.00625150452158222,24.7480718983219,3.25206814770762e-135,0.142474226695417,0.166979767203893,53494.8392689447,53664.2810914015
"HBS08000032",-0.335733317729299,0.00740987506921212,-45.30890394148,0,-0.350252309622366,-0.321205994422719,53494.8392689447,53664.2810914015
"CancerTypeCervical",-2.86577273397321,0.0144079178767165,-198.902628297483,0,-2.89413183110752,-2.83765173426056,53494.8392689447,53664.2810914015
"CancerTypeColorectal",-0.394152469959894,0.00520888297251508,-75.6692887975519,0,-0.404365057410953,-0.38394654596399,53494.8392689447,53664.2810914015
"CancerTypeHead & Neck",-1.44027539437337,0.00756259735560788,-190.447187209479,0,-1.45512050874369,-1.42547549771836,53494.8392689447,53664.2810914015
"CancerTypeLung",-0.126727448395189,0.00483304432860723,-26.2210399447564,1.52971042654706e-151,-0.136200981797158,-0.117255743707842,53494.8392689447,53664.2810914015
"CancerTypeLymphoma",-1.52920000152827,0.00787120989129501,-194.277629824032,0,-1.54465305765356,-1.51379827671781,53494.8392689447,53664.2810914015
"CancerTypeMelanoma",-1.3614050316362,0.00732768264582382,-185.789300306569,0,-1.37578747476763,-1.34706332450243,53494.8392689447,53664.2810914015
"CancerTypeOvarian",-2.33927637561008,0.0111915499490854,-209.021662437494,0,-2.36127804403525,-2.31740721846481,53494.8392689447,53664.2810914015
"CancerTypeUpper GI",-0.674615123518267,0.00569019893229613,-118.557388159019,0,-0.685774445645424,-0.663469193477955,53494.8392689447,53664.2810914015
"CancerTypeUrological",0.0518209799586659,0.00461807427054904,11.2213396586419,3.20379922028791e-29,0.0427700836797316,0.0608726503823637,53494.8392689447,53664.2810914015
"Date",0.00381186812573499,0.000168827605175097,22.5784647112749,7.05573779916739e-113,0.00348098146798177,0.0041427746840166,53494.8392689447,53664.2810914015
"Pandemic_cat",-0.294979039858727,0.00956388188890816,-30.8430241281872,6.94807985239284e-209,-0.313747500573954,-0.276257629816099,53494.8392689447,53664.2810914015
"JustPandemic",0.0491720018408062,0.0022522202569702,21.8326789702864,1.13565889242836e-105,0.044758340367808,0.053586919372698,53494.8392689447,53664.2810914015
