"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.72143365700359,0.00720452490791326,-1071.74779124194,0,-7.73557156753133,-7.70733027387351,54135.9025242482,54442.2012033046
"HBS08000016",-0.0263386506684303,0.0122527493048147,-2.14961148826252,0.031585958930668,-0.0504050160561251,-0.00237443465218928,54135.9025242482,54442.2012033046
"HBS08000017",0.0937242008791032,0.0106115451643453,8.83228591383802,1.02557887653911e-18,0.0728984200397832,0.114495322943001,54135.9025242482,54442.2012033046
"HBS08000019",-0.0926938575034985,0.00899137525736385,-10.3091968525708,6.40342017105058e-25,-0.110324061766675,-0.0750782826800776,54135.9025242482,54442.2012033046
"HBS08000020",-0.104098664972585,0.00767449609200024,-13.5642345405708,6.52573455818565e-42,-0.119133961167662,-0.0890503417729547,54135.9025242482,54442.2012033046
"HBS08000022",-0.136575982285357,0.00895961846501532,-15.2435042651254,1.81849755964556e-52,-0.154143587481091,-0.119022298689198,54135.9025242482,54442.2012033046
"HBS08000024",-0.158122042158438,0.00718896978553797,-21.9950906563179,3.20891016673109e-107,-0.172201164996707,-0.144020795539129,54135.9025242482,54442.2012033046
"HBS08000025",-0.507626242220118,0.0404816598471703,-12.5396597900518,4.52935823364268e-36,-0.587973389372271,-0.429243999701297,54135.9025242482,54442.2012033046
"HBS08000026",-0.0617379146729052,0.026582104459753,-2.32253675650024,0.0202040516231276,-0.114250306198131,-0.0100288250998256,54135.9025242482,54442.2012033046
"HBS08000028",0.0573847652247448,0.0250893964074726,2.28721186802459,0.022183459633445,0.00785402868987985,0.106211592719457,54135.9025242482,54442.2012033046
"HBS08000029",-0.160075295629826,0.00867183451724603,-18.4592193625787,4.39649880736194e-76,-0.177075648158031,-0.143082466898238,54135.9025242482,54442.2012033046
"HBS08000030",0.0883146947937539,0.00794130014640734,11.1209365173922,9.92249013929154e-29,0.0727538319282175,0.103883318362644,54135.9025242482,54442.2012033046
"HBS08000031",0.144392852635426,0.00664595386285789,21.7264301882068,1.15434962086931e-104,0.131382765741023,0.157434532037383,54135.9025242482,54442.2012033046
"HBS08000032",-0.352359914949976,0.00789508997523144,-44.6302595734061,0,-0.367829740959516,-0.336881397112097,54135.9025242482,54442.2012033046
"CancerTypeCervical",-2.86684558144733,0.0154042172407326,-186.107838953782,0,-2.8971721615845,-2.83678641493535,54135.9025242482,54442.2012033046
"CancerTypeColorectal",-0.393478089252844,0.00556784522862711,-70.6697246593304,0,-0.404394641465956,-0.382569013869795,54135.9025242482,54442.2012033046
"CancerTypeHead & Neck",-1.44028579981757,0.00808570404351153,-178.127444693372,0,-1.45615899288757,-1.42446341313539,54135.9025242482,54442.2012033046
"CancerTypeLung",-0.131856438760173,0.00517292690626574,-25.489716199249,2.56319023535363e-143,-0.141996286287598,-0.121718724505742,54135.9025242482,54442.2012033046
"CancerTypeLymphoma",-1.51700161377328,0.00838469502315857,-180.925079514916,0,-1.53346395487643,-1.50059632310749,54135.9025242482,54442.2012033046
"CancerTypeMelanoma",-1.35866717939597,0.00782623389962374,-173.604213319167,0,-1.37402921797083,-1.34335075608654,54135.9025242482,54442.2012033046
"CancerTypeOvarian",-2.32407702759982,0.0118965513245674,-195.357205982915,0,-2.34746771467789,-2.30083325222361,54135.9025242482,54442.2012033046
"CancerTypeUpper GI",-0.68989350136052,0.00611030633875738,-112.906532522692,0,-0.701877251343901,-0.677925194855823,54135.9025242482,54442.2012033046
"CancerTypeUrological",0.0482829416700402,0.00494086088503281,9.77217185294614,1.4823961901057e-22,0.0385994143745451,0.0579672888114124,54135.9025242482,54442.2012033046
"Date",0.00229451689222836,0.000161994297670496,14.1641830930093,1.5263148193183e-45,0.00197703379674421,0.00261204087598767,54135.9025242482,54442.2012033046
"JustPandemic",-0.0435313238403377,0.00467747568882102,-9.30658473423514,1.3200883065624e-20,-0.0527358116525717,-0.0343999865949674,54135.9025242482,54442.2012033046
"HBS08000016:JustPandemic",-0.021308774654081,0.00887362068857772,-2.40136190196974,0.0163341731381004,-0.0388155478281858,-0.00402741682061481,54135.9025242482,54442.2012033046
"HBS08000017:JustPandemic",0.0464330889281712,0.00695210854697903,6.67899366277131,2.40588565186055e-11,0.0327718098291477,0.0600253751056961,54135.9025242482,54442.2012033046
"HBS08000019:JustPandemic",0.0466243657612896,0.00594279237555278,7.84553166506222,4.31123040398092e-15,0.0349735723475286,0.0582699731869544,54135.9025242482,54442.2012033046
