"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-8.66471490344203,0.0132658506484494,-653.159388949912,0,-8.69076165015394,-8.63876026888554,33810.4397078403,33972.4736763005
"HBS08000016",-0.106670794724235,0.0208339316170228,-5.12005111109597,3.05452859742279e-07,-0.147663875149698,-0.065993218790621,33810.4397078403,33972.4736763005
"HBS08000017",-0.125819530514417,0.0189958132025747,-6.62354010184534,3.50696726845716e-11,-0.16316260178705,-0.0886980633246043,33810.4397078403,33972.4736763005
"HBS08000019",-0.0662895889761852,0.0147000875871598,-4.50946897990512,6.4990096259865e-06,-0.0951197212410107,-0.0374954307050326,33810.4397078403,33972.4736763005
"HBS08000020",-0.227871076157483,0.0129866893746978,-17.5465100906662,6.32490332916189e-69,-0.253312433677472,-0.202404853923221,33810.4397078403,33972.4736763005
"HBS08000022",-0.193160969800647,0.0150142517567426,-12.8651745641538,7.06820602007245e-38,-0.222612873922436,-0.163757013007262,33810.4397078403,33972.4736763005
"HBS08000024",-0.230247738888378,0.0119799101322933,-19.2194879882878,2.54266603310939e-82,-0.253699656688596,-0.206738713981631,33810.4397078403,33972.4736763005
"HBS08000025",-0.141680641257297,0.0599355268518643,-2.36388413849223,0.0180844673200314,-0.261377226088313,-0.0263465486313553,33810.4397078403,33972.4736763005
"HBS08000026",0.0114775216738329,0.0447123666288379,0.2566968053628,0.797412837886037,-0.077336058355981,0.0979689172551211,33810.4397078403,33972.4736763005
"HBS08000028",0.235795399920477,0.039687567258806,5.94129134655281,2.82785510438132e-09,0.157109453692154,0.312706506894889,33810.4397078403,33972.4736763005
"HBS08000029",-0.301831757315578,0.0148646320046133,-20.3053635785873,1.15287771114388e-91,-0.330987528741307,-0.272718200038444,33810.4397078403,33972.4736763005
"HBS08000030",-0.277958716802464,0.0143898524593635,-19.3163006769813,3.91738260395698e-83,-0.306174923510777,-0.249766798167725,33810.4397078403,33972.4736763005
"HBS08000031",0.00695235083296004,0.0111191848784094,0.625257238636234,0.531802240310364,-0.0147997852732139,0.0287870888886947,33810.4397078403,33972.4736763005
"HBS08000032",-0.49479379585282,0.0134377192343984,-36.8212631341654,8.43559433522086e-297,-0.52112683390608,-0.468451177437793,33810.4397078403,33972.4736763005
"CancerTypeCervical",-2.96148236381891,0.0252521894663871,-117.276261045044,0,-3.01134972493815,-2.91235652956689,33810.4397078403,33972.4736763005
"CancerTypeColorectal",-0.535394681537059,0.00894819497306878,-59.8327018072837,0,-0.552946166802572,-0.51786965731337,33810.4397078403,33972.4736763005
"CancerTypeHead & Neck",-1.88677701602283,0.015088586383054,-125.04663910344,0,-1.91645861788566,-1.85731117344185,33810.4397078403,33972.4736763005
"CancerTypeLung",-0.409646489886452,0.00861547419228419,-47.5477589211888,0,-0.426542102159549,-0.39276986050513,33810.4397078403,33972.4736763005
"CancerTypeLymphoma",-2.12156692981876,0.0170447974029908,-124.47005849694,0,-2.15512303564998,-2.08830677998134,33810.4397078403,33972.4736763005
"CancerTypeMelanoma",-1.79626613055116,0.0144898736222891,-123.966997737513,0,-1.82476285676612,-1.76796247880859,33810.4397078403,33972.4736763005
"CancerTypeOvarian",-2.52876328081472,0.0201441763019094,-125.533218281803,0,-2.56846886170698,-2.48950195690574,33810.4397078403,33972.4736763005
"CancerTypeUpper GI",-0.88165554333184,0.010046887127627,-87.7541005619004,0,-0.901373856132316,-0.861990446401165,33810.4397078403,33972.4736763005
"CancerTypeUrological",-0.458111806895638,0.00873812037185655,-52.4268134793736,0,-0.475249173964919,-0.440996158615422,33810.4397078403,33972.4736763005
"Date",0.00422543754037723,0.000978134403666971,4.31989461216812,1.56103732410448e-05,0.00230970533973562,0.00614393002165232,33810.4397078403,33972.4736763005
"DateSquared",4.19107359939029e-05,2.44843699130841e-05,1.71173430815986,0.0869456430322042,-6.10537107065169e-06,8.98717778479108e-05,33810.4397078403,33972.4736763005
