"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-8.65439354906457,0.0136305273700427,-634.927271272368,0,-8.68115597481825,-8.62772509972865,33801.9418385382,33970.4571657368
"HBS08000016",-0.106693730749,0.0208339306806875,-5.12115223882847,3.03674352136962e-07,-0.147686809353823,-0.0660161566647583,33801.9418385382,33970.4571657368
"HBS08000017",-0.125799917286359,0.0189958144895659,-6.62250715048088,3.53156971046911e-11,-0.163142991066055,-0.0886784475589149,33801.9418385382,33970.4571657368
"HBS08000019",-0.0662960049760113,0.0147000876332576,-4.50990542573521,6.48565331490734e-06,-0.0951261373310668,-0.0375018466143374,33801.9418385382,33970.4571657368
"HBS08000020",-0.227850495083041,0.0129866909216402,-17.5449232185363,6.50406537185568e-69,-0.25329185563786,-0.202384269819871,33801.9418385382,33970.4571657368
"HBS08000022",-0.193143265982464,0.0150142531121502,-12.8639942686302,7.17699939899389e-38,-0.222595172756211,-0.163739306528142,33801.9418385382,33970.4571657368
"HBS08000024",-0.230272605194046,0.0119799128519798,-19.2215592917266,2.44316522908271e-82,-0.25372452833773,-0.206763574970049,33801.9418385382,33970.4571657368
"HBS08000025",-0.142071154064684,0.0599356408208531,-2.37039517921119,0.017769081636029,-0.261767954013384,-0.026736829713658,33801.9418385382,33970.4571657368
"HBS08000026",0.0114847661214995,0.0447123553803079,0.256858893337513,0.797287704475057,-0.0773287924927595,0.0979761391175075,33801.9418385382,33970.4571657368
"HBS08000028",0.235600052555889,0.0396876105201666,5.93636274565263,2.91414659425887e-09,0.156914023468175,0.312511246271814,33801.9418385382,33970.4571657368
"HBS08000029",-0.30184907028685,0.0148646328929302,-20.3065270741003,1.12589499926991e-91,-0.331004843451035,-0.272735511266177,33801.9418385382,33970.4571657368
"HBS08000030",-0.27797348839777,0.0143898492647918,-19.3173314940761,3.83994691401484e-83,-0.306189688853805,-0.249781576032592,33801.9418385382,33970.4571657368
"HBS08000031",0.00693304116004735,0.0111191863610533,0.623520546820891,0.532942504378153,-0.0148190978629249,0.0287677821107812,33801.9418385382,33970.4571657368
"HBS08000032",-0.494802642519848,0.0134377193899646,-36.8219210537593,8.23354518578848e-297,-0.521135680878103,-0.468460023799956,33801.9418385382,33970.4571657368
"CancerTypeCervical",-2.96152559057474,0.0252521889204487,-117.277975382822,0,-3.0113929506423,-2.91239975740583,33801.9418385382,33970.4571657368
"CancerTypeColorectal",-0.535399512890998,0.00894819837303005,-59.8332189979937,0,-0.552951004822555,-0.517874482005907,33801.9418385382,33970.4571657368
"CancerTypeHead & Neck",-1.88674240829727,0.015088589859894,-125.044316653625,0,-1.91642401692282,-1.85727655884998,33801.9418385382,33970.4571657368
"CancerTypeLung",-0.409662927280561,0.00861547376340478,-47.5496691801967,0,-0.426558538710654,-0.392786298737278,33801.9418385382,33970.4571657368
"CancerTypeLymphoma",-2.12162950594149,0.0170447990098417,-124.473718036596,0,-2.15518561489306,-2.0883693529255,33801.9418385382,33970.4571657368
"CancerTypeMelanoma",-1.79624542819024,0.0144898739508797,-123.96556617949,0,-1.82474215505064,-1.76794177580511,33801.9418385382,33970.4571657368
"CancerTypeOvarian",-2.5287978974396,0.0201441756276416,-125.534940927025,0,-2.56850347702617,-2.48953657486816,33801.9418385382,33970.4571657368
"CancerTypeUpper GI",-0.881654440918818,0.0100468858949296,-87.7540016020052,0,-0.901372751305763,-0.861989346406457,33801.9418385382,33970.4571657368
"CancerTypeUrological",-0.458122572427675,0.00873812604739449,-52.4280114458039,0,-0.475259950622799,-0.44100691302591,33801.9418385382,33970.4571657368
"Date",0.00184342893133972,0.0012224663944991,1.50795877877286,0.131565077387985,-0.000550875869957611,0.00424111611034974,33801.9418385382,33970.4571657368
"DateSquared",0.000125331854345872,3.55065436829629e-05,3.52982412101152,0.000415836003801349,5.57070658069106e-05,0.000194890440991117,33801.9418385382,33970.4571657368
"JustPandemic",-0.0107283186291295,0.00331166336447362,-3.23955591145501,0.00119715992880347,-0.0172197141328594,-0.00423818304548514,33801.9418385382,33970.4571657368
