"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-8.6750608509608,0.0118170324212223,-734.115008043916,0,-8.6982689639164,-8.65194676895432,33811.3668056174,33966.9194153392
"HBS08000016",-0.106685196189829,0.0208339295736334,-5.12074286383524,3.04334391226313e-07,-0.147678272641881,-0.0660076242923527,33811.3668056174,33966.9194153392
"HBS08000017",-0.125813708155573,0.0189958133458468,-6.6232335444105,3.51425118119625e-11,-0.163156779707594,-0.0886922406835047,33811.3668056174,33966.9194153392
"HBS08000019",-0.0663072405269522,0.0147000841574568,-4.51067081090941,6.46229403933228e-06,-0.0951373660781737,-0.0375130889856814,33811.3668056174,33966.9194153392
"HBS08000020",-0.227898837116279,0.0129866793791642,-17.5486612445303,6.08986179523818e-69,-0.253340175026676,-0.202432634452625,33811.3668056174,33966.9194153392
"HBS08000022",-0.193177365949972,0.0150142486920804,-12.8662692294333,6.96877152676603e-38,-0.222629264075292,-0.163773415172729,33811.3668056174,33966.9194153392
"HBS08000024",-0.23026310882363,0.011979906261928,-19.2207771738083,2.48027171543332e-82,-0.253715019020806,-0.206754091484913,33811.3668056174,33966.9194153392
"HBS08000025",-0.141405631962199,0.0599353058222653,-2.35930442036168,0.0183092292175649,-0.261101799508926,-0.0260719887023279,33811.3668056174,33966.9194153392
"HBS08000026",0.0114812098038835,0.0447123677637312,0.2567792845271,0.797349162559901,-0.0773323724021913,0.0979726076801064,33811.3668056174,33966.9194153392
"HBS08000028",0.235755030109415,0.039687560609106,5.94027515148721,2.84544084670217e-09,0.157069096612796,0.312666123753501,33811.3668056174,33966.9194153392
"HBS08000029",-0.301827642036132,0.0148646319169565,-20.3050868479178,1.15938978117897e-91,-0.330983413290399,-0.272714084931114,33811.3668056174,33966.9194153392
"HBS08000030",-0.277984722363805,0.0143898395062519,-19.3181252815939,3.78135910483182e-83,-0.306200903724838,-0.249792829154613,33811.3668056174,33966.9194153392
"HBS08000031",0.00694539186211744,0.0111191842183265,0.62463142311017,0.532212991055063,-0.0148067429454717,0.0287801286289943,33811.3668056174,33966.9194153392
"HBS08000032",-0.494796649334061,0.0134377193752856,-36.8214750967401,8.36996475711593e-297,-0.52112968766355,-0.468454030642993,33811.3668056174,33966.9194153392
"CancerTypeCervical",-2.96152796412386,0.0252521753615685,-117.278132347799,0,-3.01139529801086,-2.91240215793204,33811.3668056174,33966.9194153392
"CancerTypeColorectal",-0.53539894504895,0.00894819756021438,-59.8331609741665,0,-0.55295043538578,-0.517873915755309,33811.3668056174,33966.9194153392
"CancerTypeHead & Neck",-1.88678804491265,0.0150885831642756,-125.047396721774,0,-1.91646964051382,-1.85732220868719,33811.3668056174,33966.9194153392
"CancerTypeLung",-0.409647178971485,0.00861547357005346,-47.5478423374634,0,-0.42654279002285,-0.392770550807449,33811.3668056174,33966.9194153392
"CancerTypeLymphoma",-2.12155367755955,0.0170447899675972,-124.469335297924,0,-2.1551097689465,-2.08829354242386,33811.3668056174,33966.9194153392
"CancerTypeMelanoma",-1.79628087517346,0.0144898699892274,-123.968046401308,0,-1.82477759431692,-1.76797723060051,33811.3668056174,33966.9194153392
"CancerTypeOvarian",-2.52876013464821,0.0201441769044994,-125.53305834419,0,-2.56846571670836,-2.48949880954557,33811.3668056174,33966.9194153392
"CancerTypeUpper GI",-0.881655838622365,0.0100468882866176,-87.7541198299905,0,-0.901374153690789,-0.861990739416545,33811.3668056174,33966.9194153392
"CancerTypeUrological",-0.458108169487125,0.00873811755894156,-52.4264140871338,0,-0.475245531041024,-0.440992526717708,33811.3668056174,33966.9194153392
"Date",0.00584588788276864,0.000246784785685015,23.6882021172491,4.77096713091602e-124,0.00536223815708848,0.00632961817483686,33811.3668056174,33966.9194153392
