"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-8.67722976781688,0.01201846569215,-721.991474625959,0,-8.70083211022553,-8.65372032339198,33812.3800663907,33974.4140348508
"HBS08000016",-0.106696105034263,0.0208339318721562,-5.12126590837414,3.03491326991932e-07,-0.147689185955347,-0.0660185285962627,33812.3800663907,33974.4140348508
"HBS08000017",-0.125807180140252,0.0189958147354955,-6.62288940443125,3.52244570782305e-11,-0.163150254399198,-0.0886857099281134,33812.3800663907,33974.4140348508
"HBS08000019",-0.0663160321571971,0.0147000868830778,-4.5112680411119,6.44412272399153e-06,-0.0951461630437491,-0.0375218752675961,33812.3800663907,33974.4140348508
"HBS08000020",-0.227906175579232,0.0129866815361659,-17.5492234058831,6.02988670138484e-69,-0.253347517721375,-0.202439968692386,33812.3800663907,33974.4140348508
"HBS08000022",-0.193180573549204,0.0150142491027137,-12.8664825145527,6.9495601425062e-38,-0.222632472478057,-0.163776621965958,33812.3800663907,33974.4140348508
"HBS08000024",-0.230274822274396,0.0119799119102939,-19.2217458691437,2.43439543062941e-82,-0.253726743568175,-0.206765793891785,33812.3800663907,33974.4140348508
"HBS08000025",-0.141372322936544,0.0599353112847182,-2.35874845573031,0.0183366804350014,-0.261068500800175,-0.0260386685864174,33812.3800663907,33974.4140348508
"HBS08000026",0.0114845932983757,0.0447123659970504,0.256854967127737,0.79729073548365,-0.0773289855519063,0.0979759876345676,33812.3800663907,33974.4140348508
"HBS08000028",0.235696690282824,0.0396876036776058,5.9387987291311,2.87118094186826e-09,0.157010674293973,0.312607870272925,33812.3800663907,33974.4140348508
"HBS08000029",-0.301829567933111,0.0148646320735556,-20.3052161963746,1.15634137793522e-91,-0.330985339493862,-0.272716010520778,33812.3800663907,33974.4140348508
"HBS08000030",-0.277998803042441,0.0143898435833291,-19.3190983232442,3.71075581993656e-83,-0.306214992379394,-0.249806901828111,33812.3800663907,33974.4140348508
"HBS08000031",0.00693838261658579,0.0111191864691383,0.6240009227153,0.532626979091972,-0.0148137566192205,0.0287731237781188,33812.3800663907,33974.4140348508
"HBS08000032",-0.494799724149467,0.0134377198095968,-36.8217027263879,8.30005229747065e-297,-0.521132763330548,-0.468457104607617,33812.3800663907,33974.4140348508
"CancerTypeCervical",-2.96155628054329,0.0252521905709922,-117.279183056115,0,-3.0114236437915,-2.91243044409017,33812.3800663907,33974.4140348508
"CancerTypeColorectal",-0.535401757954182,0.00894819993400484,-59.8334594558571,0,-0.552953252945573,-0.517876724010182,33812.3800663907,33974.4140348508
"CancerTypeHead & Neck",-1.88678541388597,0.0150885825428728,-125.047227499657,0,-1.91646700827785,-1.85731957888702,33812.3800663907,33974.4140348508
"CancerTypeLung",-0.409650934441296,0.00861547373201717,-47.5482773418407,0,-0.426546545806624,-0.392774305956334,33812.3800663907,33974.4140348508
"CancerTypeLymphoma",-2.12156129750584,0.0170447873246535,-124.469801652334,0,-2.15511738375575,-2.08830116759307,33812.3800663907,33974.4140348508
"CancerTypeMelanoma",-1.79628273193367,0.0144898694236441,-123.96817938211,0,-1.82477944997661,-1.76797908847722,33812.3800663907,33974.4140348508
"CancerTypeOvarian",-2.52876618879959,0.0201441773792635,-125.533355926597,0,-2.56847177177991,-2.48950486275638,33812.3800663907,33974.4140348508
"CancerTypeUpper GI",-0.881655731661961,0.0100468885155118,-87.7541071846008,0,-0.901374047177986,-0.861990632006487,33812.3800663907,33974.4140348508
"CancerTypeUrological",-0.458108915895049,0.00873811758138244,-52.4264993722564,0,-0.475246277492506,-0.44099327308121,33812.3800663907,33974.4140348508
"Date",0.00602415638375089,0.000305169865046594,19.7403383287242,9.71255089086896e-87,0.00542613187783588,0.00662237774668777,33812.3800663907,33974.4140348508
"JustPandemic",-0.00227122291096336,0.00228788647027453,-0.992716614426602,0.32084807590927,-0.00676106323409687,0.00220733637547099,33812.3800663907,33974.4140348508
