"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-8.68334105657201,0.0119673182948508,-725.587875464813,0,-8.70684321209876,-8.65993191582658,33661.5231445866,33830.0384717852
"HBS08000016",-0.106696909631801,0.0208339320918243,-5.12130447394858,3.03429254791732e-07,-0.147689990979462,-0.0660193327597646,33661.5231445866,33830.0384717852
"HBS08000017",-0.125813346890047,0.0189958143045264,-6.62321419198476,3.51471149813042e-11,-0.163156420309974,-0.0886918775280757,33661.5231445866,33830.0384717852
"HBS08000019",-0.0663664539275502,0.0147000882284005,-4.51469766006781,6.34071592072213e-06,-0.0951965874476847,-0.0375722943982374,33661.5231445866,33830.0384717852
"HBS08000020",-0.227991186760815,0.0129866844508881,-17.5557654937264,5.37376041230745e-69,-0.253432534621302,-0.20252497416729,33661.5231445866,33830.0384717852
"HBS08000022",-0.19322240804455,0.0150142490410419,-12.8692688869334,6.703365260648e-38,-0.222674306852717,-0.163818456582367,33661.5231445866,33830.0384717852
"HBS08000024",-0.230317485563372,0.0119799133224354,-19.225304838562,2.27299502534317e-82,-0.25376940963234,-0.206808454420617,33661.5231445866,33830.0384717852
"HBS08000025",-0.138561547196746,0.0599358830484278,-2.31182957769704,0.0207870767679088,-0.258258804511893,-0.0232267299438602,33661.5231445866,33830.0384717852
"HBS08000026",0.0121172711526378,0.0447124658885631,0.271004314162357,0.78638771416435,-0.0766964981228676,0.0986088663098148,33661.5231445866,33830.0384717852
"HBS08000028",0.234406455584079,0.0396875645203038,5.90629479075642,3.49887648323657e-09,0.155720514633218,0.311317557096797,33661.5231445866,33830.0384717852
"HBS08000029",-0.301816018831219,0.0148646321578281,-20.3043045819519,1.17799734345349e-91,-0.330971790556894,-0.272702461253519,33661.5231445866,33830.0384717852
"HBS08000030",-0.278054998915085,0.0143898237832564,-19.3230301568127,3.43860528258402e-83,-0.306271149505464,-0.249863136565339,33661.5231445866,33830.0384717852
"HBS08000031",0.00694399269984404,0.0111191857834558,0.624505502028391,0.532295658108848,-0.014808145187074,0.0287787325224806,33661.5231445866,33830.0384717852
"HBS08000032",-0.494796184847392,0.0134377200153568,-36.82143877696,8.38117404921596e-297,-0.521129224431908,-0.468453564902469,33661.5231445866,33830.0384717852
"CancerTypeCervical",-2.96314947399815,0.0252524892166955,-117.340886617985,0,-3.01301741376501,-2.9140230433608,33661.5231445866,33830.0384717852
"CancerTypeColorectal",-0.535430757384596,0.00894821274642754,-59.8366145908143,0,-0.552982277496872,-0.517905698338847,33661.5231445866,33830.0384717852
"CancerTypeHead & Neck",-1.88678176451374,0.0150885804408647,-125.047003056943,0,-1.91646335481949,-1.85731593366864,33661.5231445866,33830.0384717852
"CancerTypeLung",-0.409627355022715,0.00861545090153882,-47.5456664664586,0,-0.426522921589446,-0.39275077123163,33661.5231445866,33830.0384717852
"CancerTypeLymphoma",-2.12160385941799,0.0170447528999443,-124.47255010807,0,-2.15515987881974,-2.08834379759987,33661.5231445866,33830.0384717852
"CancerTypeMelanoma",-1.79626788535134,0.0144898642309167,-123.967199190085,0,-1.82476459327152,-1.76796425212684,33661.5231445866,33830.0384717852
"CancerTypeOvarian",-2.52867522441852,0.0201441834415623,-125.528802483066,0,-2.56838081914553,-2.48941388635624,33661.5231445866,33830.0384717852
"CancerTypeUpper GI",-0.881647568058459,0.0100468789297835,-87.7533783596076,0,-0.901365864794093,-0.861982487197142,33661.5231445866,33830.0384717852
"CancerTypeUrological",-0.458103618974517,0.00873810484993334,-52.4259695714239,0,-0.475240955595239,-0.440988001089597,33661.5231445866,33830.0384717852
"Date",0.00663371046179047,0.000291733672919805,22.7389262110103,1.84692780685818e-114,0.00606197054336175,0.00720554723381706,33661.5231445866,33830.0384717852
"Pandemic",-0.058178069514855,0.00530688735923765,-10.9627481377733,5.77195325691059e-28,-0.0686091806203591,-0.0478062906723476,33661.5231445866,33830.0384717852
"PandemicRecovery",0.022379567977104,0.00807511263273543,2.77142486983775,0.00558115502248472,0.00650647980428589,0.0381608094120073,33661.5231445866,33830.0384717852
