"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-8.67527121663665,0.0121686436300988,-712.920147910208,0,-8.69916795471448,-8.65146749148834,33558.1769850831,33785.0245409273
"HBS08000016",-0.106668849173192,0.0208340037260843,-5.11994000652128,3.05632869998685e-07,-0.14766206974036,-0.065991130731652,33558.1769850831,33785.0245409273
"HBS08000017",-0.126024981854331,0.0189958587260769,-6.63433981435794,3.25958114176039e-11,-0.163368141795826,-0.0889034248938646,33558.1769850831,33785.0245409273
"HBS08000019",-0.0663586003823561,0.0147001028816367,-4.51415890872785,6.35685408504618e-06,-0.0951887625874692,-0.0375644121009927,33558.1769850831,33785.0245409273
"HBS08000020",-0.227957590017709,0.0129867134781138,-17.5531392451124,5.62813954048858e-69,-0.253398994826302,-0.202491320591917,33558.1769850831,33785.0245409273
"HBS08000022",-0.193212785275062,0.0150142685601738,-12.8686112480744,6.7606787820876e-38,-0.22266472227333,-0.163808795493073,33558.1769850831,33785.0245409273
"HBS08000024",-0.230306585147433,0.0119799406475548,-19.2243510984706,2.31517016533923e-82,-0.253758562906339,-0.20679750058499,33558.1769850831,33785.0245409273
"HBS08000025",-0.145542626433434,0.0599373903837741,-2.42824429795053,0.0151721195741148,-0.265242729059161,-0.0302047441952728,33558.1769850831,33785.0245409273
"HBS08000026",0.00961662021169131,0.0447126597056033,0.215076004760374,0.829708061557581,-0.0791975189342999,0.0961086055474017,33558.1769850831,33785.0245409273
"HBS08000028",0.233851602457797,0.0396882681940295,5.89220979143091,3.81064950458603e-09,0.155164313936806,0.310764114861757,33558.1769850831,33785.0245409273
"HBS08000029",-0.301837556296594,0.0148646338260605,-20.3057512097887,1.14381722082678e-91,-0.330993331287351,-0.272723995444671,33558.1769850831,33785.0245409273
"HBS08000030",-0.278237247222145,0.0143900591001009,-19.3353790479008,2.7067163153421e-83,-0.306453857933993,-0.250044922609972,33558.1769850831,33785.0245409273
"HBS08000031",0.00692163029318075,0.0111191962462325,0.62249376123081,0.533617244814773,-0.0148305281797744,0.0287563905426659,33558.1769850831,33785.0245409273
"HBS08000032",-0.494814538283249,0.0134377282007146,-36.822782161715,7.97638510671003e-297,-0.521147593917455,-0.468471902303078,33558.1769850831,33785.0245409273
"CancerTypeCervical",-2.97562185700695,0.0270809924083338,-109.878611985108,0,-3.02912309125091,-2.92295993506868,33558.1769850831,33785.0245409273
"CancerTypeColorectal",-0.547470198330393,0.00961952123968654,-56.912416396747,0,-0.566339551010629,-0.528631444761322,33558.1769850831,33785.0245409273
"CancerTypeHead & Neck",-1.9192428165408,0.0163615401427882,-117.302087688045,0,-1.95143713390289,-1.88729952069375,33558.1769850831,33785.0245409273
"CancerTypeLung",-0.398304372690538,0.00920446126225094,-43.2729696331117,0,-0.416355290973584,-0.380274225889964,33558.1769850831,33785.0245409273
"CancerTypeLymphoma",-2.11188377710176,0.018170219365181,-116.227753482641,0,-2.14766284812448,-2.07643471412509,33558.1769850831,33785.0245409273
"CancerTypeMelanoma",-1.81408022814071,0.01563534557898,-116.024312924656,0,-1.84483655714868,-1.78354578354487,33558.1769850831,33785.0245409273
"CancerTypeOvarian",-2.5088557003529,0.021420017914683,-117.12668543723,0,-2.55108630221771,-2.46711770542348,33558.1769850831,33785.0245409273
"CancerTypeUpper GI",-0.904807757497173,0.010844287675862,-83.4363477382809,0,-0.926093441654282,-0.883584207725319,33558.1769850831,33785.0245409273
"CancerTypeUrological",-0.484332458290608,0.00943035207286341,-51.3588946147953,0,-0.502828783536526,-0.465862223905219,33558.1769850831,33785.0245409273
"Date",0.00659957691709565,0.000310614956018644,21.2468098821987,3.52839480670315e-100,0.00599086719536703,0.00720845751366705,33558.1769850831,33785.0245409273
"JustPandemic",-0.042507625049732,0.00481798473636089,-8.82269815612549,1.11734233594493e-18,-0.0519718961216848,-0.0330854984350215,33558.1769850831,33785.0245409273
"PandemicRecovery",0.118531907259864,0.0125100619602056,9.47492567478189,2.66950683916564e-21,0.0940187140346208,0.143057907222825,33558.1769850831,33785.0245409273
"CancerTypeCervical:JustPandemic",0.0227682683962733,0.0165588069516528,1.37499449463663,0.169133151506829,-0.0103219332180046,0.0546228652982279,33558.1769850831,33785.0245409273
"CancerTypeColorectal:JustPandemic",0.0204516969873604,0.00593412565733617,3.44645499073257,0.000567993171989564,0.00880191500533559,0.0320643980768803,33558.1769850831,33785.0245409273
"CancerTypeHead & Neck:JustPandemic",0.051578058668637,0.0094197622148401,5.4755159941702,4.36238555794168e-08,0.0329682339094144,0.0698984838949774,33558.1769850831,33785.0245409273
"CancerTypeLung:JustPandemic",-0.0209089493655018,0.00600383196638883,-3.48260069278356,0.000496568435508589,-0.0326987712710369,-0.00916298612232207,33558.1769850831,33785.0245409273
"CancerTypeLymphoma:JustPandemic",-0.0184550343164531,0.01204641877527,-1.53199342150874,0.125524058130105,-0.0423673927738356,0.00486590575083231,33558.1769850831,33785.0245409273
"CancerTypeMelanoma:JustPandemic",0.0295529010380913,0.00936934942532451,3.15421057498533,0.00160932918632481,0.0110416333965057,0.0477741425157969,33558.1769850831,33785.0245409273
"CancerTypeOvarian:JustPandemic",-0.0376198868816406,0.0146722844154107,-2.56401019885679,0.0103470504112412,-0.0668622646870915,-0.00932542869950511,33558.1769850831,33785.0245409273
"CancerTypeUpper GI:JustPandemic",0.0379377023907009,0.00649228089615795,5.84350908371076,5.11125099019078e-09,0.0251777815574793,0.0506285772008275,33558.1769850831,33785.0245409273
"CancerTypeUrological:JustPandemic",0.042563810272314,0.00565854020864179,7.52204786091475,5.3924835383496e-14,0.0314627738111704,0.053644808827523,33558.1769850831,33785.0245409273
