Health Board Code,Health Board Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
S08000015,Ayrshire and Arran,368290,367500,367710,368550,369000,369330,370750,372120,372430,372810,373760,373220,372240,371140,370590,370560,370410,369670,369360,367990,367990
S08000016,Borders,106950,107530,108390,109450,110250,110860,112200,113360,113590,113700,113880,113720,113880,114040,114030,114530,115020,115270,115510,115240,115240
S08000017,Dumfries and Galloway,147780,147670,147860,148700,149620,149770,150370,151010,151160,151100,151410,150840,150280,149960,149670,149520,149200,148790,148860,148290,148290
S08000029,Fife,349770,350740,351360,353050,355460,357260,358740,360040,361420,362610,365300,366210,366900,367250,368080,370330,371410,371910,373550,374130,374130
S08000019,Forth Valley,279540,280690,282030,283900,286800,288720,291350,293020,294190,296010,298080,299090,299670,300400,302650,304480,305580,306070,306640,305930,305930
S08000020,Grampian,525850,527200,529360,531890,536360,541590,548300,553690,559200,564850,569580,573400,579200,584220,587820,588100,586380,584550,585700,585550,585550
S08000031,Greater Glasgow and Clyde,1126690,1122800,1116470,1112010,1110810,1108800,1112000,1116840,1122330,1127840,1135400,1137320,1137920,1142590,1149890,1161370,1169110,1174980,1183120,1185240,1185240
S08000022,Highland,300220,300780,302570,305140,308400,311640,314790,316880,318200,319350,321660,319800,320980,320730,321000,321900,321990,321800,321700,320860,320860
S08000032,Lanarkshire,623520,625290,627180,631060,633990,637190,641530,644590,647340,649460,651620,652220,652590,653300,654490,656490,658130,659200,661900,661960,661960
S08000024,Lothian,779180,779810,778910,781810,787260,792990,801450,808940,816510,825520,836610,843740,849720,858120,867800,880000,889450,897770,907580,912490,912490
S08000025,Orkney,19220,19330,19540,19830,20070,20340,20580,20740,20940,21220,21420,21530,21560,21580,21670,21850,22000,22190,22270,22400,22400
S08000026,Shetland,21960,22000,21950,22090,22250,22210,22350,22480,22800,23060,23240,23210,23200,23220,23200,23200,23080,22990,22920,22870,22870
S08000030,Tayside,388780,388310,388740,390170,393000,395240,398380,401910,404370,407070,410250,411740,412160,413800,415040,415470,416090,416080,417470,416550,416550
S08000028,Western Isles,26450,26350,26430,26650,26930,27060,27210,27280,27420,27600,27690,27560,27400,27250,27070,26900,26950,26830,26720,26500,26500
