Quarter,HB,CancerType,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferralsTreatedWithin31Days,Date,Pandemic
2012Q1,S08000015,Breast,176,176,0,0
2012Q1,S08000015,Cervical,10,10,0,0
2012Q1,S08000015,Colorectal,112,110,0,0
2012Q1,S08000015,Head & Neck,34,32,0,0
2012Q1,S08000015,Lung,148,148,0,0
2012Q1,S08000015,Lymphoma,50,50,0,0
2012Q1,S08000015,Melanoma,34,34,0,0
2012Q1,S08000015,Ovarian,24,24,0,0
2012Q1,S08000015,Upper GI,84,84,0,0
2012Q1,S08000015,Urological,132,128,0,0
2012Q1,S08000016,Breast,34,34,0,0
2012Q1,S08000016,Cervical,2,2,0,0
2012Q1,S08000016,Colorectal,40,40,0,0
2012Q1,S08000016,Head & Neck,8,8,0,0
2012Q1,S08000016,Lung,50,50,0,0
2012Q1,S08000016,Lymphoma,14,14,0,0
2012Q1,S08000016,Melanoma,8,8,0,0
2012Q1,S08000016,Ovarian,8,8,0,0
2012Q1,S08000016,Upper GI,24,24,0,0
2012Q1,S08000016,Urological,48,48,0,0
2012Q1,S08000017,Breast,46,46,0,0
2012Q1,S08000017,Cervical,2,2,0,0
2012Q1,S08000017,Colorectal,68,64,0,0
2012Q1,S08000017,Head & Neck,16,16,0,0
2012Q1,S08000017,Lung,44,44,0,0
2012Q1,S08000017,Lymphoma,20,20,0,0
2012Q1,S08000017,Melanoma,10,10,0,0
2012Q1,S08000017,Ovarian,10,10,0,0
2012Q1,S08000017,Upper GI,46,46,0,0
2012Q1,S08000017,Urological,86,84,0,0
2012Q1,S08000019,Breast,86,82,0,0
2012Q1,S08000019,Cervical,4,2,0,0
2012Q1,S08000019,Colorectal,92,90,0,0
2012Q1,S08000019,Head & Neck,20,20,0,0
2012Q1,S08000019,Lung,112,110,0,0
2012Q1,S08000019,Lymphoma,24,24,0,0
2012Q1,S08000019,Melanoma,18,18,0,0
2012Q1,S08000019,Ovarian,18,18,0,0
2012Q1,S08000019,Upper GI,56,56,0,0
2012Q1,S08000019,Urological,130,114,0,0
2012Q1,S08000020,Breast,244,236,0,0
2012Q1,S08000020,Cervical,8,8,0,0
2012Q1,S08000020,Colorectal,148,146,0,0
2012Q1,S08000020,Head & Neck,46,46,0,0
2012Q1,S08000020,Lung,136,136,0,0
2012Q1,S08000020,Lymphoma,12,12,0,0
2012Q1,S08000020,Melanoma,52,52,0,0
2012Q1,S08000020,Ovarian,18,18,0,0
2012Q1,S08000020,Upper GI,110,108,0,0
2012Q1,S08000020,Urological,234,214,0,0
2012Q1,S08000022,Breast,118,118,0,0
2012Q1,S08000022,Cervical,6,6,0,0
2012Q1,S08000022,Colorectal,76,72,0,0
2012Q1,S08000022,Head & Neck,28,26,0,0
2012Q1,S08000022,Lung,96,96,0,0
2012Q1,S08000022,Lymphoma,30,30,0,0
2012Q1,S08000022,Melanoma,30,30,0,0
2012Q1,S08000022,Ovarian,10,10,0,0
2012Q1,S08000022,Upper GI,74,74,0,0
2012Q1,S08000022,Urological,110,104,0,0
2012Q1,S08000024,Breast,436,436,0,0
2012Q1,S08000024,Cervical,12,12,0,0
2012Q1,S08000024,Colorectal,278,268,0,0
2012Q1,S08000024,Head & Neck,82,82,0,0
2012Q1,S08000024,Lung,350,350,0,0
2012Q1,S08000024,Lymphoma,68,68,0,0
2012Q1,S08000024,Melanoma,100,100,0,0
2012Q1,S08000024,Ovarian,42,38,0,0
2012Q1,S08000024,Upper GI,102,102,0,0
2012Q1,S08000024,Urological,396,388,0,0
2012Q1,S08000025,Breast,2,2,0,0
2012Q1,S08000025,Colorectal,8,8,0,0
2012Q1,S08000025,Head & Neck,2,2,0,0
2012Q1,S08000025,Upper GI,4,4,0,0
2012Q1,S08000025,Urological,4,4,0,0
2012Q1,S08000026,Breast,4,4,0,0
2012Q1,S08000026,Colorectal,14,14,0,0
2012Q1,S08000026,Head & Neck,2,2,0,0
2012Q1,S08000026,Lung,10,10,0,0
2012Q1,S08000026,Lymphoma,6,6,0,0
2012Q1,S08000026,Melanoma,2,2,0,0
2012Q1,S08000026,Upper GI,4,4,0,0
2012Q1,S08000026,Urological,18,18,0,0
2012Q1,S08000028,Colorectal,14,14,0,0
2012Q1,S08000028,Head & Neck,8,8,0,0
2012Q1,S08000028,Lung,14,14,0,0
2012Q1,S08000028,Melanoma,2,2,0,0
2012Q1,S08000028,Upper GI,8,8,0,0
2012Q1,S08000028,Urological,6,6,0,0
2012Q1,S08000029,Breast,90,90,0,0
2012Q1,S08000029,Cervical,6,6,0,0
2012Q1,S08000029,Colorectal,92,92,0,0
2012Q1,S08000029,Head & Neck,48,46,0,0
2012Q1,S08000029,Lung,158,154,0,0
2012Q1,S08000029,Lymphoma,26,26,0,0
2012Q1,S08000029,Melanoma,18,18,0,0
2012Q1,S08000029,Ovarian,12,10,0,0
2012Q1,S08000029,Upper GI,62,62,0,0
2012Q1,S08000029,Urological,208,198,0,0
2012Q1,S08000030,Breast,212,212,0,0
2012Q1,S08000030,Cervical,8,8,0,0
2012Q1,S08000030,Colorectal,154,150,0,0
2012Q1,S08000030,Head & Neck,42,42,0,0
2012Q1,S08000030,Lung,116,116,0,0
2012Q1,S08000030,Lymphoma,52,52,0,0
2012Q1,S08000030,Melanoma,62,60,0,0
2012Q1,S08000030,Ovarian,24,24,0,0
2012Q1,S08000030,Upper GI,84,84,0,0
2012Q1,S08000030,Urological,190,178,0,0
2012Q1,S08000031,Breast,570,568,0,0
2012Q1,S08000031,Cervical,22,22,0,0
2012Q1,S08000031,Colorectal,368,348,0,0
2012Q1,S08000031,Head & Neck,146,138,0,0
2012Q1,S08000031,Lung,530,520,0,0
2012Q1,S08000031,Lymphoma,86,86,0,0
2012Q1,S08000031,Melanoma,150,150,0,0
2012Q1,S08000031,Ovarian,32,32,0,0
2012Q1,S08000031,Upper GI,338,332,0,0
2012Q1,S08000031,Urological,524,506,0,0
2012Q1,S08000032,Breast,142,142,0,0
2012Q1,S08000032,Cervical,22,22,0,0
2012Q1,S08000032,Colorectal,158,156,0,0
2012Q1,S08000032,Head & Neck,38,38,0,0
2012Q1,S08000032,Lung,230,226,0,0
2012Q1,S08000032,Lymphoma,54,52,0,0
2012Q1,S08000032,Melanoma,60,60,0,0
2012Q1,S08000032,Ovarian,22,22,0,0
2012Q1,S08000032,Upper GI,102,102,0,0
2012Q1,S08000032,Urological,176,170,0,0
2012Q2,S08000015,Breast,196,194,1,0
2012Q2,S08000015,Cervical,14,14,1,0
2012Q2,S08000015,Colorectal,110,104,1,0
2012Q2,S08000015,Head & Neck,52,50,1,0
2012Q2,S08000015,Lung,138,138,1,0
2012Q2,S08000015,Lymphoma,42,42,1,0
2012Q2,S08000015,Melanoma,24,24,1,0
2012Q2,S08000015,Ovarian,24,24,1,0
2012Q2,S08000015,Upper GI,98,98,1,0
2012Q2,S08000015,Urological,126,126,1,0
2012Q2,S08000016,Breast,24,24,1,0
2012Q2,S08000016,Cervical,2,2,1,0
2012Q2,S08000016,Colorectal,44,44,1,0
2012Q2,S08000016,Head & Neck,8,6,1,0
2012Q2,S08000016,Lung,30,30,1,0
2012Q2,S08000016,Lymphoma,12,12,1,0
2012Q2,S08000016,Melanoma,28,28,1,0
2012Q2,S08000016,Ovarian,12,12,1,0
2012Q2,S08000016,Upper GI,42,42,1,0
2012Q2,S08000016,Urological,68,66,1,0
2012Q2,S08000017,Breast,40,40,1,0
2012Q2,S08000017,Cervical,2,0,1,0
2012Q2,S08000017,Colorectal,72,70,1,0
2012Q2,S08000017,Head & Neck,16,16,1,0
2012Q2,S08000017,Lung,86,86,1,0
2012Q2,S08000017,Lymphoma,20,20,1,0
2012Q2,S08000017,Melanoma,8,8,1,0
2012Q2,S08000017,Ovarian,4,4,1,0
2012Q2,S08000017,Upper GI,32,32,1,0
2012Q2,S08000017,Urological,76,74,1,0
2012Q2,S08000019,Breast,114,114,1,0
2012Q2,S08000019,Cervical,4,4,1,0
2012Q2,S08000019,Colorectal,110,106,1,0
2012Q2,S08000019,Head & Neck,32,32,1,0
2012Q2,S08000019,Lung,100,100,1,0
2012Q2,S08000019,Lymphoma,24,24,1,0
2012Q2,S08000019,Melanoma,14,14,1,0
2012Q2,S08000019,Ovarian,8,8,1,0
2012Q2,S08000019,Upper GI,58,58,1,0
2012Q2,S08000019,Urological,120,94,1,0
2012Q2,S08000020,Breast,200,200,1,0
2012Q2,S08000020,Cervical,14,14,1,0
2012Q2,S08000020,Colorectal,192,192,1,0
2012Q2,S08000020,Head & Neck,44,42,1,0
2012Q2,S08000020,Lung,136,136,1,0
2012Q2,S08000020,Lymphoma,76,74,1,0
2012Q2,S08000020,Melanoma,48,48,1,0
2012Q2,S08000020,Ovarian,18,18,1,0
2012Q2,S08000020,Upper GI,106,106,1,0
2012Q2,S08000020,Urological,254,246,1,0
2012Q2,S08000022,Breast,120,120,1,0
2012Q2,S08000022,Cervical,8,8,1,0
2012Q2,S08000022,Colorectal,92,92,1,0
2012Q2,S08000022,Head & Neck,26,24,1,0
2012Q2,S08000022,Lung,118,118,1,0
2012Q2,S08000022,Lymphoma,34,34,1,0
2012Q2,S08000022,Melanoma,20,20,1,0
2012Q2,S08000022,Ovarian,14,12,1,0
2012Q2,S08000022,Upper GI,62,62,1,0
2012Q2,S08000022,Urological,120,106,1,0
2012Q2,S08000024,Breast,414,414,1,0
2012Q2,S08000024,Cervical,10,6,1,0
2012Q2,S08000024,Colorectal,238,216,1,0
2012Q2,S08000024,Head & Neck,110,108,1,0
2012Q2,S08000024,Lung,324,324,1,0
2012Q2,S08000024,Lymphoma,74,74,1,0
2012Q2,S08000024,Melanoma,98,98,1,0
2012Q2,S08000024,Ovarian,54,48,1,0
2012Q2,S08000024,Upper GI,160,160,1,0
2012Q2,S08000024,Urological,290,268,1,0
2012Q2,S08000025,Breast,4,4,1,0
2012Q2,S08000025,Colorectal,2,2,1,0
2012Q2,S08000025,Lymphoma,4,4,1,0
2012Q2,S08000025,Upper GI,4,4,1,0
2012Q2,S08000025,Urological,4,4,1,0
2012Q2,S08000026,Breast,2,2,1,0
2012Q2,S08000026,Colorectal,4,4,1,0
2012Q2,S08000026,Head & Neck,2,2,1,0
2012Q2,S08000026,Lymphoma,2,2,1,0
2012Q2,S08000026,Melanoma,2,2,1,0
2012Q2,S08000026,Ovarian,2,2,1,0
2012Q2,S08000026,Upper GI,4,4,1,0
2012Q2,S08000026,Urological,18,18,1,0
2012Q2,S08000028,Colorectal,16,16,1,0
2012Q2,S08000028,Head & Neck,2,2,1,0
2012Q2,S08000028,Lung,6,6,1,0
2012Q2,S08000028,Ovarian,4,4,1,0
2012Q2,S08000028,Upper GI,6,6,1,0
2012Q2,S08000028,Urological,8,8,1,0
2012Q2,S08000029,Breast,72,72,1,0
2012Q2,S08000029,Cervical,6,6,1,0
2012Q2,S08000029,Colorectal,102,102,1,0
2012Q2,S08000029,Head & Neck,58,58,1,0
2012Q2,S08000029,Lung,122,122,1,0
2012Q2,S08000029,Lymphoma,32,32,1,0
2012Q2,S08000029,Melanoma,32,32,1,0
2012Q2,S08000029,Ovarian,12,10,1,0
2012Q2,S08000029,Upper GI,82,82,1,0
2012Q2,S08000029,Urological,160,148,1,0
2012Q2,S08000030,Breast,212,212,1,0
2012Q2,S08000030,Cervical,10,10,1,0
2012Q2,S08000030,Colorectal,136,136,1,0
2012Q2,S08000030,Head & Neck,52,52,1,0
2012Q2,S08000030,Lung,156,156,1,0
2012Q2,S08000030,Lymphoma,34,34,1,0
2012Q2,S08000030,Melanoma,78,72,1,0
