,Quarter,HB,CancerType,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferralsTreatedWithin31Days,Date,Pandemic,PopSize,Pandemic_cat,JustPandemic,PandemicRecovery,HB_Cancertypes,Date_Cancertypes,Date_HB,Pandemic_cat_Cancertypes,Pandemic_cat_HB
0,2012Q1,0,0,176,176,0,0.0,373220.0,0,0.0,0.0,0,0,0,0,0
1,2012Q1,0,1,10,10,0,0.0,373220.0,0,0.0,0.0,1,1,0,1,0
2,2012Q1,0,2,112,110,0,0.0,373220.0,0,0.0,0.0,2,2,0,2,0
3,2012Q1,0,3,34,32,0,0.0,373220.0,0,0.0,0.0,3,3,0,3,0
4,2012Q1,0,4,148,148,0,0.0,373220.0,0,0.0,0.0,4,4,0,4,0
5,2012Q1,0,5,50,50,0,0.0,373220.0,0,0.0,0.0,5,5,0,5,0
6,2012Q1,0,6,34,34,0,0.0,373220.0,0,0.0,0.0,6,6,0,6,0
7,2012Q1,0,7,24,24,0,0.0,373220.0,0,0.0,0.0,7,7,0,7,0
8,2012Q1,0,8,84,84,0,0.0,373220.0,0,0.0,0.0,8,8,0,8,0
9,2012Q1,0,9,132,128,0,0.0,373220.0,0,0.0,0.0,9,9,0,9,0
10,2012Q1,1,0,34,34,0,0.0,113720.0,0,0.0,0.0,10,0,1,0,1
11,2012Q1,1,1,2,2,0,0.0,113720.0,0,0.0,0.0,11,1,1,1,1
12,2012Q1,1,2,40,40,0,0.0,113720.0,0,0.0,0.0,12,2,1,2,1
13,2012Q1,1,3,8,8,0,0.0,113720.0,0,0.0,0.0,13,3,1,3,1
14,2012Q1,1,4,50,50,0,0.0,113720.0,0,0.0,0.0,14,4,1,4,1
15,2012Q1,1,5,14,14,0,0.0,113720.0,0,0.0,0.0,15,5,1,5,1
16,2012Q1,1,6,8,8,0,0.0,113720.0,0,0.0,0.0,16,6,1,6,1
17,2012Q1,1,7,8,8,0,0.0,113720.0,0,0.0,0.0,17,7,1,7,1
18,2012Q1,1,8,24,24,0,0.0,113720.0,0,0.0,0.0,18,8,1,8,1
19,2012Q1,1,9,48,48,0,0.0,113720.0,0,0.0,0.0,19,9,1,9,1
20,2012Q1,2,0,46,46,0,0.0,150840.0,0,0.0,0.0,20,0,2,0,2
21,2012Q1,2,1,2,2,0,0.0,150840.0,0,0.0,0.0,21,1,2,1,2
22,2012Q1,2,2,68,64,0,0.0,150840.0,0,0.0,0.0,22,2,2,2,2
23,2012Q1,2,3,16,16,0,0.0,150840.0,0,0.0,0.0,23,3,2,3,2
