,Unnamed: 0,Quarter,HB,CancerType,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferralsTreatedWithin31Days,Date,DateSquared,Pandemic,PopSize
0,1,2012Q1,S08000015,Breast,176.0,176.0,0,0,0,373220.0
1,2,2012Q1,S08000015,Cervical,10.0,10.0,0,0,0,373220.0
2,3,2012Q1,S08000015,Colorectal,112.0,110.0,0,0,0,373220.0
3,4,2012Q1,S08000015,Head & Neck,34.0,32.0,0,0,0,373220.0
4,5,2012Q1,S08000015,Lung,148.0,148.0,0,0,0,373220.0
5,6,2012Q1,S08000015,Lymphoma,50.0,50.0,0,0,0,373220.0
6,7,2012Q1,S08000015,Melanoma,34.0,34.0,0,0,0,373220.0
7,8,2012Q1,S08000015,Ovarian,24.0,24.0,0,0,0,373220.0
8,9,2012Q1,S08000015,Upper GI,84.0,84.0,0,0,0,373220.0
9,10,2012Q1,S08000015,Urological,132.0,128.0,0,0,0,373220.0
10,12,2012Q1,S08000016,Breast,34.0,34.0,0,0,0,113720.0
11,13,2012Q1,S08000016,Cervical,2.0,2.0,0,0,0,113720.0
12,14,2012Q1,S08000016,Colorectal,40.0,40.0,0,0,0,113720.0
13,15,2012Q1,S08000016,Head & Neck,8.0,8.0,0,0,0,113720.0
14,16,2012Q1,S08000016,Lung,50.0,50.0,0,0,0,113720.0
15,17,2012Q1,S08000016,Lymphoma,14.0,14.0,0,0,0,113720.0
16,18,2012Q1,S08000016,Melanoma,8.0,8.0,0,0,0,113720.0
17,19,2012Q1,S08000016,Ovarian,8.0,8.0,0,0,0,113720.0
18,20,2012Q1,S08000016,Upper GI,24.0,24.0,0,0,0,113720.0
19,21,2012Q1,S08000016,Urological,48.0,48.0,0,0,0,113720.0
20,23,2012Q1,S08000017,Breast,46.0,46.0,0,0,0,150840.0
21,24,2012Q1,S08000017,Cervical,2.0,2.0,0,0,0,150840.0
22,25,2012Q1,S08000017,Colorectal,68.0,64.0,0,0,0,150840.0
23,26,2012Q1,S08000017,Head & Neck,16.0,16.0,0,0,0,150840.0
24,27,2012Q1,S08000017,Lung,44.0,44.0,0,0,0,150840.0
25,28,2012Q1,S08000017,Lymphoma,20.0,20.0,0,0,0,150840.0
26,29,2012Q1,S08000017,Melanoma,10.0,10.0,0,0,0,150840.0
27,30,2012Q1,S08000017,Ovarian,10.0,10.0,0,0,0,150840.0
28,31,2012Q1,S08000017,Upper GI,46.0,46.0,0,0,0,150840.0
29,32,2012Q1,S08000017,Urological,86.0,84.0,0,0,0,150840.0
30,34,2012Q1,S08000019,Breast,86.0,82.0,0,0,0,299090.0
31,35,2012Q1,S08000019,Cervical,4.0,2.0,0,0,0,299090.0
32,36,2012Q1,S08000019,Colorectal,92.0,90.0,0,0,0,299090.0
33,37,2012Q1,S08000019,Head & Neck,20.0,20.0,0,0,0,299090.0
34,38,2012Q1,S08000019,Lung,112.0,110.0,0,0,0,299090.0
35,39,2012Q1,S08000019,Lymphoma,24.0,24.0,0,0,0,299090.0
36,40,2012Q1,S08000019,Melanoma,18.0,18.0,0,0,0,299090.0
37,41,2012Q1,S08000019,Ovarian,18.0,18.0,0,0,0,299090.0
38,42,2012Q1,S08000019,Upper GI,56.0,56.0,0,0,0,299090.0
39,43,2012Q1,S08000019,Urological,130.0,114.0,0,0,0,299090.0
40,45,2012Q1,S08000020,Breast,244.0,236.0,0,0,0,573400.0
41,46,2012Q1,S08000020,Cervical,8.0,8.0,0,0,0,573400.0
42,47,2012Q1,S08000020,Colorectal,148.0,146.0,0,0,0,573400.0
43,48,2012Q1,S08000020,Head & Neck,46.0,46.0,0,0,0,573400.0
44,49,2012Q1,S08000020,Lung,136.0,136.0,0,0,0,573400.0
45,50,2012Q1,S08000020,Lymphoma,12.0,12.0,0,0,0,573400.0
46,51,2012Q1,S08000020,Melanoma,52.0,52.0,0,0,0,573400.0
47,52,2012Q1,S08000020,Ovarian,18.0,18.0,0,0,0,573400.0
48,53,2012Q1,S08000020,Upper GI,110.0,108.0,0,0,0,573400.0
49,54,2012Q1,S08000020,Urological,234.0,214.0,0,0,0,573400.0
50,56,2012Q1,S08000022,Breast,118.0,118.0,0,0,0,319800.0
51,57,2012Q1,S08000022,Cervical,6.0,6.0,0,0,0,319800.0
52,58,2012Q1,S08000022,Colorectal,76.0,72.0,0,0,0,319800.0
53,59,2012Q1,S08000022,Head & Neck,28.0,26.0,0,0,0,319800.0
54,60,2012Q1,S08000022,Lung,96.0,96.0,0,0,0,319800.0
55,61,2012Q1,S08000022,Lymphoma,30.0,30.0,0,0,0,319800.0
56,62,2012Q1,S08000022,Melanoma,30.0,30.0,0,0,0,319800.0
57,63,2012Q1,S08000022,Ovarian,10.0,10.0,0,0,0,319800.0
58,64,2012Q1,S08000022,Upper GI,74.0,74.0,0,0,0,319800.0
59,65,2012Q1,S08000022,Urological,110.0,104.0,0,0,0,319800.0
60,67,2012Q1,S08000024,Breast,436.0,436.0,0,0,0,843740.0
61,68,2012Q1,S08000024,Cervical,12.0,12.0,0,0,0,843740.0
62,69,2012Q1,S08000024,Colorectal,278.0,268.0,0,0,0,843740.0
63,70,2012Q1,S08000024,Head & Neck,82.0,82.0,0,0,0,843740.0
64,71,2012Q1,S08000024,Lung,350.0,350.0,0,0,0,843740.0
65,72,2012Q1,S08000024,Lymphoma,68.0,68.0,0,0,0,843740.0
66,73,2012Q1,S08000024,Melanoma,100.0,100.0,0,0,0,843740.0
67,74,2012Q1,S08000024,Ovarian,42.0,38.0,0,0,0,843740.0
68,75,2012Q1,S08000024,Upper GI,102.0,102.0,0,0,0,843740.0
69,76,2012Q1,S08000024,Urological,396.0,388.0,0,0,0,843740.0
70,78,2012Q1,S08000025,Breast,2.0,2.0,0,0,0,21530.0
71,79,2012Q1,S08000025,Colorectal,8.0,8.0,0,0,0,21530.0
72,80,2012Q1,S08000025,Head & Neck,2.0,2.0,0,0,0,21530.0
73,81,2012Q1,S08000025,Upper GI,4.0,4.0,0,0,0,21530.0
74,82,2012Q1,S08000025,Urological,4.0,4.0,0,0,0,21530.0
75,84,2012Q1,S08000026,Breast,4.0,4.0,0,0,0,23210.0
76,85,2012Q1,S08000026,Colorectal,14.0,14.0,0,0,0,23210.0
77,86,2012Q1,S08000026,Head & Neck,2.0,2.0,0,0,0,23210.0
78,87,2012Q1,S08000026,Lung,10.0,10.0,0,0,0,23210.0
79,88,2012Q1,S08000026,Lymphoma,6.0,6.0,0,0,0,23210.0
80,89,2012Q1,S08000026,Melanoma,2.0,2.0,0,0,0,23210.0
81,90,2012Q1,S08000026,Upper GI,4.0,4.0,0,0,0,23210.0
82,91,2012Q1,S08000026,Urological,18.0,18.0,0,0,0,23210.0
83,93,2012Q1,S08000028,Colorectal,14.0,14.0,0,0,0,27560.0
84,94,2012Q1,S08000028,Head & Neck,8.0,8.0,0,0,0,27560.0
85,95,2012Q1,S08000028,Lung,14.0,14.0,0,0,0,27560.0
86,96,2012Q1,S08000028,Melanoma,2.0,2.0,0,0,0,27560.0
87,97,2012Q1,S08000028,Upper GI,8.0,8.0,0,0,0,27560.0
88,98,2012Q1,S08000028,Urological,6.0,6.0,0,0,0,27560.0
89,100,2012Q1,S08000029,Breast,90.0,90.0,0,0,0,366210.0
90,101,2012Q1,S08000029,Cervical,6.0,6.0,0,0,0,366210.0
91,102,2012Q1,S08000029,Colorectal,92.0,92.0,0,0,0,366210.0
92,103,2012Q1,S08000029,Head & Neck,48.0,46.0,0,0,0,366210.0
93,104,2012Q1,S08000029,Lung,158.0,154.0,0,0,0,366210.0
94,105,2012Q1,S08000029,Lymphoma,26.0,26.0,0,0,0,366210.0
95,106,2012Q1,S08000029,Melanoma,18.0,18.0,0,0,0,366210.0
96,107,2012Q1,S08000029,Ovarian,12.0,10.0,0,0,0,366210.0
97,108,2012Q1,S08000029,Upper GI,62.0,62.0,0,0,0,366210.0
98,109,2012Q1,S08000029,Urological,208.0,198.0,0,0,0,366210.0
99,111,2012Q1,S08000030,Breast,212.0,212.0,0,0,0,411740.0
100,112,2012Q1,S08000030,Cervical,8.0,8.0,0,0,0,411740.0
101,113,2012Q1,S08000030,Colorectal,154.0,150.0,0,0,0,411740.0
102,114,2012Q1,S08000030,Head & Neck,42.0,42.0,0,0,0,411740.0
103,115,2012Q1,S08000030,Lung,116.0,116.0,0,0,0,411740.0
104,116,2012Q1,S08000030,Lymphoma,52.0,52.0,0,0,0,411740.0
