Quarter,HB,CancerType,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferralsTreatedWithin62Days,Date,DateSquared,Pandemic
2012Q1,S08000015,Breast,59,57,0,0,0
2012Q1,S08000015,Cervical,3,3,0,0,0
2012Q1,S08000015,Colorectal,32,30,0,0,0
2012Q1,S08000015,Head & Neck,3,3,0,0,0
2012Q1,S08000015,Lung,44,43,0,0,0
2012Q1,S08000015,Lymphoma,10,9,0,0,0
2012Q1,S08000015,Melanoma,3,2,0,0,0
2012Q1,S08000015,Ovarian,5,4,0,0,0
2012Q1,S08000015,Upper GI,28,27,0,0,0
2012Q1,S08000015,Urological,13,12,0,0,0
2012Q1,S08000016,Breast,7,7,0,0,0
2012Q1,S08000016,Cervical,1,1,0,0,0
2012Q1,S08000016,Colorectal,15,14,0,0,0
2012Q1,S08000016,Head & Neck,2,2,0,0,0
2012Q1,S08000016,Lung,16,16,0,0,0
2012Q1,S08000016,Lymphoma,3,3,0,0,0
2012Q1,S08000016,Melanoma,4,4,0,0,0
2012Q1,S08000016,Ovarian,2,2,0,0,0
2012Q1,S08000016,Upper GI,7,7,0,0,0
2012Q1,S08000016,Urological,14,14,0,0,0
2012Q1,S08000017,Breast,11,11,0,0,0
2012Q1,S08000017,Colorectal,20,20,0,0,0
2012Q1,S08000017,Head & Neck,5,5,0,0,0
2012Q1,S08000017,Lung,15,15,0,0,0
2012Q1,S08000017,Lymphoma,2,2,0,0,0
2012Q1,S08000017,Melanoma,4,4,0,0,0
2012Q1,S08000017,Ovarian,3,3,0,0,0
2012Q1,S08000017,Upper GI,21,21,0,0,0
2012Q1,S08000017,Urological,21,19,0,0,0
2012Q1,S08000019,Breast,27,23,0,0,0
2012Q1,S08000019,Cervical,1,1,0,0,0
2012Q1,S08000019,Colorectal,23,21,0,0,0
2012Q1,S08000019,Head & Neck,6,5,0,0,0
2012Q1,S08000019,Lung,43,42,0,0,0
2012Q1,S08000019,Lymphoma,5,5,0,0,0
2012Q1,S08000019,Melanoma,5,5,0,0,0
2012Q1,S08000019,Ovarian,4,4,0,0,0
2012Q1,S08000019,Upper GI,20,20,0,0,0
2012Q1,S08000019,Urological,36,30,0,0,0
2012Q1,S08000020,Breast,86,86,0,0,0
2012Q1,S08000020,Cervical,4,4,0,0,0
2012Q1,S08000020,Colorectal,44,32,0,0,0
2012Q1,S08000020,Head & Neck,10,9,0,0,0
2012Q1,S08000020,Lung,45,42,0,0,0
2012Q1,S08000020,Lymphoma,5,2,0,0,0
2012Q1,S08000020,Melanoma,9,9,0,0,0
2012Q1,S08000020,Ovarian,9,9,0,0,0
2012Q1,S08000020,Upper GI,27,25,0,0,0
2012Q1,S08000020,Urological,41,36,0,0,0
2012Q1,S08000022,Breast,37,37,0,0,0
2012Q1,S08000022,Cervical,3,3,0,0,0
2012Q1,S08000022,Colorectal,30,27,0,0,0
2012Q1,S08000022,Head & Neck,9,8,0,0,0
2012Q1,S08000022,Lung,29,28,0,0,0
2012Q1,S08000022,Lymphoma,5,5,0,0,0
2012Q1,S08000022,Melanoma,9,9,0,0,0
2012Q1,S08000022,Ovarian,2,2,0,0,0
