,Quarter,HB,CancerType,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferralsTreatedWithin62Days,Date,DateSquared,Pandemic,PopSize,Pandemic_cat,JustPandemic,PandemicRecovery
0,2012Q1,S08000015,Breast,59,57,0.0,0,0.0,373220.0,0.0,0.0,0.0
1,2012Q1,S08000015,Cervical,3,3,0.0,0,0.0,373220.0,0.0,0.0,0.0
2,2012Q1,S08000015,Colorectal,32,30,0.0,0,0.0,373220.0,0.0,0.0,0.0
3,2012Q1,S08000015,Head & Neck,3,3,0.0,0,0.0,373220.0,0.0,0.0,0.0
4,2012Q1,S08000015,Lung,44,43,0.0,0,0.0,373220.0,0.0,0.0,0.0
5,2012Q1,S08000015,Lymphoma,10,9,0.0,0,0.0,373220.0,0.0,0.0,0.0
6,2012Q1,S08000015,Melanoma,3,2,0.0,0,0.0,373220.0,0.0,0.0,0.0
7,2012Q1,S08000015,Ovarian,5,4,0.0,0,0.0,373220.0,0.0,0.0,0.0
8,2012Q1,S08000015,Upper GI,28,27,0.0,0,0.0,373220.0,0.0,0.0,0.0
9,2012Q1,S08000015,Urological,13,12,0.0,0,0.0,373220.0,0.0,0.0,0.0
10,2012Q1,S08000016,Breast,7,7,0.0,0,0.0,113720.0,0.0,0.0,0.0
11,2012Q1,S08000016,Cervical,1,1,0.0,0,0.0,113720.0,0.0,0.0,0.0
12,2012Q1,S08000016,Colorectal,15,14,0.0,0,0.0,113720.0,0.0,0.0,0.0
13,2012Q1,S08000016,Head & Neck,2,2,0.0,0,0.0,113720.0,0.0,0.0,0.0
14,2012Q1,S08000016,Lung,16,16,0.0,0,0.0,113720.0,0.0,0.0,0.0
15,2012Q1,S08000016,Lymphoma,3,3,0.0,0,0.0,113720.0,0.0,0.0,0.0
16,2012Q1,S08000016,Melanoma,4,4,0.0,0,0.0,113720.0,0.0,0.0,0.0
17,2012Q1,S08000016,Ovarian,2,2,0.0,0,0.0,113720.0,0.0,0.0,0.0
18,2012Q1,S08000016,Upper GI,7,7,0.0,0,0.0,113720.0,0.0,0.0,0.0
19,2012Q1,S08000016,Urological,14,14,0.0,0,0.0,113720.0,0.0,0.0,0.0
20,2012Q1,S08000017,Breast,11,11,0.0,0,0.0,150840.0,0.0,0.0,0.0
21,2012Q1,S08000017,Colorectal,20,20,0.0,0,0.0,150840.0,0.0,0.0,0.0
22,2012Q1,S08000017,Head & Neck,5,5,0.0,0,0.0,150840.0,0.0,0.0,0.0
23,2012Q1,S08000017,Lung,15,15,0.0,0,0.0,150840.0,0.0,0.0,0.0
24,2012Q1,S08000017,Lymphoma,2,2,0.0,0,0.0,150840.0,0.0,0.0,0.0
25,2012Q1,S08000017,Melanoma,4,4,0.0,0,0.0,150840.0,0.0,0.0,0.0
26,2012Q1,S08000017,Ovarian,3,3,0.0,0,0.0,150840.0,0.0,0.0,0.0
27,2012Q1,S08000017,Upper GI,21,21,0.0,0,0.0,150840.0,0.0,0.0,0.0
28,2012Q1,S08000017,Urological,21,19,0.0,0,0.0,150840.0,0.0,0.0,0.0
29,2012Q1,S08000019,Breast,27,23,0.0,0,0.0,299090.0,0.0,0.0,0.0
