,Unnamed: 0,Quarter,HB,CancerType,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferralsTreatedWithin62Days,Date,DateSquared,Pandemic,PopSize,PandemicRecovery
0,1,2012Q1,S08000015,Breast,59.0,57.0,0,0,0,373220.0,0.0
1,2,2012Q1,S08000015,Cervical,3.0,3.0,0,0,0,373220.0,0.0
2,3,2012Q1,S08000015,Colorectal,32.0,30.0,0,0,0,373220.0,0.0
3,4,2012Q1,S08000015,Head & Neck,3.0,3.0,0,0,0,373220.0,0.0
4,5,2012Q1,S08000015,Lung,44.0,43.0,0,0,0,373220.0,0.0
5,6,2012Q1,S08000015,Lymphoma,10.0,9.0,0,0,0,373220.0,0.0
6,7,2012Q1,S08000015,Melanoma,3.0,2.0,0,0,0,373220.0,0.0
7,8,2012Q1,S08000015,Ovarian,5.0,4.0,0,0,0,373220.0,0.0
8,9,2012Q1,S08000015,Upper GI,28.0,27.0,0,0,0,373220.0,0.0
9,10,2012Q1,S08000015,Urological,13.0,12.0,0,0,0,373220.0,0.0
10,12,2012Q1,S08000016,Breast,7.0,7.0,0,0,0,113720.0,0.0
11,13,2012Q1,S08000016,Cervical,1.0,1.0,0,0,0,113720.0,0.0
12,14,2012Q1,S08000016,Colorectal,15.0,14.0,0,0,0,113720.0,0.0
13,15,2012Q1,S08000016,Head & Neck,2.0,2.0,0,0,0,113720.0,0.0
14,16,2012Q1,S08000016,Lung,16.0,16.0,0,0,0,113720.0,0.0
15,17,2012Q1,S08000016,Lymphoma,3.0,3.0,0,0,0,113720.0,0.0
16,18,2012Q1,S08000016,Melanoma,4.0,4.0,0,0,0,113720.0,0.0
17,19,2012Q1,S08000016,Ovarian,2.0,2.0,0,0,0,113720.0,0.0
18,20,2012Q1,S08000016,Upper GI,7.0,7.0,0,0,0,113720.0,0.0
19,21,2012Q1,S08000016,Urological,14.0,14.0,0,0,0,113720.0,0.0
20,23,2012Q1,S08000017,Breast,11.0,11.0,0,0,0,150840.0,0.0
21,24,2012Q1,S08000017,Colorectal,20.0,20.0,0,0,0,150840.0,0.0
22,25,2012Q1,S08000017,Head & Neck,5.0,5.0,0,0,0,150840.0,0.0
23,26,2012Q1,S08000017,Lung,15.0,15.0,0,0,0,150840.0,0.0
24,27,2012Q1,S08000017,Lymphoma,2.0,2.0,0,0,0,150840.0,0.0
25,28,2012Q1,S08000017,Melanoma,4.0,4.0,0,0,0,150840.0,0.0
26,29,2012Q1,S08000017,Ovarian,3.0,3.0,0,0,0,150840.0,0.0
27,30,2012Q1,S08000017,Upper GI,21.0,21.0,0,0,0,150840.0,0.0
28,31,2012Q1,S08000017,Urological,21.0,19.0,0,0,0,150840.0,0.0
29,33,2012Q1,S08000019,Breast,27.0,23.0,0,0,0,150840.0,0.0
30,34,2012Q1,S08000019,Cervical,1.0,1.0,0,0,0,299090.0,0.0
31,35,2012Q1,S08000019,Colorectal,23.0,21.0,0,0,0,299090.0,0.0
32,36,2012Q1,S08000019,Head & Neck,6.0,5.0,0,0,0,299090.0,0.0
33,37,2012Q1,S08000019,Lung,43.0,42.0,0,0,0,299090.0,0.0
34,38,2012Q1,S08000019,Lymphoma,5.0,5.0,0,0,0,299090.0,0.0
35,39,2012Q1,S08000019,Melanoma,5.0,5.0,0,0,0,299090.0,0.0
36,40,2012Q1,S08000019,Ovarian,4.0,4.0,0,0,0,299090.0,0.0
37,41,2012Q1,S08000019,Upper GI,20.0,20.0,0,0,0,299090.0,0.0
38,42,2012Q1,S08000019,Urological,36.0,30.0,0,0,0,299090.0,0.0
39,44,2012Q1,S08000020,Breast,86.0,86.0,0,0,0,299090.0,0.0
40,45,2012Q1,S08000020,Cervical,4.0,4.0,0,0,0,573400.0,0.0
41,46,2012Q1,S08000020,Colorectal,44.0,32.0,0,0,0,573400.0,0.0
42,47,2012Q1,S08000020,Head & Neck,10.0,9.0,0,0,0,573400.0,0.0
43,48,2012Q1,S08000020,Lung,45.0,42.0,0,0,0,573400.0,0.0
44,49,2012Q1,S08000020,Lymphoma,5.0,2.0,0,0,0,573400.0,0.0
45,50,2012Q1,S08000020,Melanoma,9.0,9.0,0,0,0,573400.0,0.0
46,51,2012Q1,S08000020,Ovarian,9.0,9.0,0,0,0,573400.0,0.0
47,52,2012Q1,S08000020,Upper GI,27.0,25.0,0,0,0,573400.0,0.0
48,53,2012Q1,S08000020,Urological,41.0,36.0,0,0,0,573400.0,0.0
49,55,2012Q1,S08000022,Breast,37.0,37.0,0,0,0,573400.0,0.0
50,56,2012Q1,S08000022,Cervical,3.0,3.0,0,0,0,319800.0,0.0
51,57,2012Q1,S08000022,Colorectal,30.0,27.0,0,0,0,319800.0,0.0
52,58,2012Q1,S08000022,Head & Neck,9.0,8.0,0,0,0,319800.0,0.0
53,59,2012Q1,S08000022,Lung,29.0,28.0,0,0,0,319800.0,0.0
54,60,2012Q1,S08000022,Lymphoma,5.0,5.0,0,0,0,319800.0,0.0
55,61,2012Q1,S08000022,Melanoma,9.0,9.0,0,0,0,319800.0,0.0
56,62,2012Q1,S08000022,Ovarian,2.0,2.0,0,0,0,319800.0,0.0
57,63,2012Q1,S08000022,Upper GI,20.0,20.0,0,0,0,319800.0,0.0
58,64,2012Q1,S08000022,Urological,18.0,17.0,0,0,0,319800.0,0.0
59,66,2012Q1,S08000024,Breast,169.0,169.0,0,0,0,319800.0,0.0
60,67,2012Q1,S08000024,Cervical,2.0,2.0,0,0,0,843740.0,0.0
61,68,2012Q1,S08000024,Colorectal,97.0,94.0,0,0,0,843740.0,0.0
62,69,2012Q1,S08000024,Head & Neck,16.0,14.0,0,0,0,843740.0,0.0
63,70,2012Q1,S08000024,Lung,101.0,95.0,0,0,0,843740.0,0.0
64,71,2012Q1,S08000024,Lymphoma,14.0,14.0,0,0,0,843740.0,0.0
65,72,2012Q1,S08000024,Melanoma,23.0,22.0,0,0,0,843740.0,0.0
66,73,2012Q1,S08000024,Ovarian,13.0,12.0,0,0,0,843740.0,0.0
67,74,2012Q1,S08000024,Upper GI,32.0,32.0,0,0,0,843740.0,0.0
68,75,2012Q1,S08000024,Urological,95.0,85.0,0,0,0,843740.0,0.0
69,77,2012Q1,S08000025,Breast,1.0,1.0,0,0,0,843740.0,0.0
70,78,2012Q1,S08000025,Colorectal,4.0,3.0,0,0,0,21530.0,0.0
