,Quarter,HB,CancerType,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferralsTreatedWithin62Days,Date,DateSquared,Pandemic,PopSize,Pandemic_cat,JustPandemic,PandemicRecovery,HB_Cancertypes,Date_Cancertypes,Date_HB,Pandemic_cat_Cancertypes,Pandemic_cat_HB
0,2012Q1,0,0,59,57,0,0,0.0,373220.0,0,0.0,0.0,0,0,0,0,0
1,2012Q1,0,1,3,3,0,0,0.0,373220.0,0,0.0,0.0,1,1,0,1,0
2,2012Q1,0,2,32,30,0,0,0.0,373220.0,0,0.0,0.0,2,2,0,2,0
3,2012Q1,0,3,3,3,0,0,0.0,373220.0,0,0.0,0.0,3,3,0,3,0
4,2012Q1,0,4,44,43,0,0,0.0,373220.0,0,0.0,0.0,4,4,0,4,0
5,2012Q1,0,5,10,9,0,0,0.0,373220.0,0,0.0,0.0,5,5,0,5,0
6,2012Q1,0,6,3,2,0,0,0.0,373220.0,0,0.0,0.0,6,6,0,6,0
7,2012Q1,0,7,5,4,0,0,0.0,373220.0,0,0.0,0.0,7,7,0,7,0
8,2012Q1,0,8,28,27,0,0,0.0,373220.0,0,0.0,0.0,8,8,0,8,0
9,2012Q1,0,9,13,12,0,0,0.0,373220.0,0,0.0,0.0,9,9,0,9,0
10,2012Q1,1,0,7,7,0,0,0.0,113720.0,0,0.0,0.0,10,0,1,0,1
11,2012Q1,1,1,1,1,0,0,0.0,113720.0,0,0.0,0.0,11,1,1,1,1
12,2012Q1,1,2,15,14,0,0,0.0,113720.0,0,0.0,0.0,12,2,1,2,1
13,2012Q1,1,3,2,2,0,0,0.0,113720.0,0,0.0,0.0,13,3,1,3,1
14,2012Q1,1,4,16,16,0,0,0.0,113720.0,0,0.0,0.0,14,4,1,4,1
15,2012Q1,1,5,3,3,0,0,0.0,113720.0,0,0.0,0.0,15,5,1,5,1
16,2012Q1,1,6,4,4,0,0,0.0,113720.0,0,0.0,0.0,16,6,1,6,1
17,2012Q1,1,7,2,2,0,0,0.0,113720.0,0,0.0,0.0,17,7,1,7,1
18,2012Q1,1,8,7,7,0,0,0.0,113720.0,0,0.0,0.0,18,8,1,8,1
19,2012Q1,1,9,14,14,0,0,0.0,113720.0,0,0.0,0.0,19,9,1,9,1
20,2012Q1,2,0,11,11,0,0,0.0,150840.0,0,0.0,0.0,20,0,2,0,2
21,2012Q1,2,2,20,20,0,0,0.0,150840.0,0,0.0,0.0,21,2,2,2,2
22,2012Q1,2,3,5,5,0,0,0.0,150840.0,0,0.0,0.0,22,3,2,3,2
23,2012Q1,2,4,15,15,0,0,0.0,150840.0,0,0.0,0.0,23,4,2,4,2
24,2012Q1,2,5,2,2,0,0,0.0,150840.0,0,0.0,0.0,24,5,2,5,2
25,2012Q1,2,6,4,4,0,0,0.0,150840.0,0,0.0,0.0,25,6,2,6,2
26,2012Q1,2,7,3,3,0,0,0.0,150840.0,0,0.0,0.0,26,7,2,7,2
27,2012Q1,2,8,21,21,0,0,0.0,150840.0,0,0.0,0.0,27,8,2,8,2
28,2012Q1,2,9,21,19,0,0,0.0,150840.0,0,0.0,0.0,28,9,2,9,2
29,2012Q1,3,0,27,23,0,0,0.0,299090.0,0,0.0,0.0,29,0,3,0,3
30,2012Q1,3,1,1,1,0,0,0.0,299090.0,0,0.0,0.0,30,1,3,1,3
31,2012Q1,3,2,23,21,0,0,0.0,299090.0,0,0.0,0.0,31,2,3,2,3
32,2012Q1,3,3,6,5,0,0,0.0,299090.0,0,0.0,0.0,32,3,3,3,3
33,2012Q1,3,4,43,42,0,0,0.0,299090.0,0,0.0,0.0,33,4,3,4,3
34,2012Q1,3,5,5,5,0,0,0.0,299090.0,0,0.0,0.0,34,5,3,5,3
35,2012Q1,3,6,5,5,0,0,0.0,299090.0,0,0.0,0.0,35,6,3,6,3
36,2012Q1,3,7,4,4,0,0,0.0,299090.0,0,0.0,0.0,36,7,3,7,3
37,2012Q1,3,8,20,20,0,0,0.0,299090.0,0,0.0,0.0,37,8,3,8,3
38,2012Q1,3,9,36,30,0,0,0.0,299090.0,0,0.0,0.0,38,9,3,9,3
39,2012Q1,4,0,86,86,0,0,0.0,573400.0,0,0.0,0.0,39,0,4,0,4
40,2012Q1,4,1,4,4,0,0,0.0,573400.0,0,0.0,0.0,40,1,4,1,4
41,2012Q1,4,2,44,32,0,0,0.0,573400.0,0,0.0,0.0,41,2,4,2,4
42,2012Q1,4,3,10,9,0,0,0.0,573400.0,0,0.0,0.0,42,3,4,3,4
43,2012Q1,4,4,45,42,0,0,0.0,573400.0,0,0.0,0.0,43,4,4,4,4
44,2012Q1,4,5,5,2,0,0,0.0,573400.0,0,0.0,0.0,44,5,4,5,4
45,2012Q1,4,6,9,9,0,0,0.0,573400.0,0,0.0,0.0,45,6,4,6,4
46,2012Q1,4,7,9,9,0,0,0.0,573400.0,0,0.0,0.0,46,7,4,7,4
47,2012Q1,4,8,27,25,0,0,0.0,573400.0,0,0.0,0.0,47,8,4,8,4
48,2012Q1,4,9,41,36,0,0,0.0,573400.0,0,0.0,0.0,48,9,4,9,4
49,2012Q1,5,0,37,37,0,0,0.0,319800.0,0,0.0,0.0,49,0,5,0,5
50,2012Q1,5,1,3,3,0,0,0.0,319800.0,0,0.0,0.0,50,1,5,1,5
51,2012Q1,5,2,30,27,0,0,0.0,319800.0,0,0.0,0.0,51,2,5,2,5
52,2012Q1,5,3,9,8,0,0,0.0,319800.0,0,0.0,0.0,52,3,5,3,5
53,2012Q1,5,4,29,28,0,0,0.0,319800.0,0,0.0,0.0,53,4,5,4,5
54,2012Q1,5,5,5,5,0,0,0.0,319800.0,0,0.0,0.0,54,5,5,5,5
55,2012Q1,5,6,9,9,0,0,0.0,319800.0,0,0.0,0.0,55,6,5,6,5
56,2012Q1,5,7,2,2,0,0,0.0,319800.0,0,0.0,0.0,56,7,5,7,5
57,2012Q1,5,8,20,20,0,0,0.0,319800.0,0,0.0,0.0,57,8,5,8,5
58,2012Q1,5,9,18,17,0,0,0.0,319800.0,0,0.0,0.0,58,9,5,9,5
59,2012Q1,6,0,169,169,0,0,0.0,843740.0,0,0.0,0.0,59,0,6,0,6
60,2012Q1,6,1,2,2,0,0,0.0,843740.0,0,0.0,0.0,60,1,6,1,6
61,2012Q1,6,2,97,94,0,0,0.0,843740.0,0,0.0,0.0,61,2,6,2,6
62,2012Q1,6,3,16,14,0,0,0.0,843740.0,0,0.0,0.0,62,3,6,3,6
63,2012Q1,6,4,101,95,0,0,0.0,843740.0,0,0.0,0.0,63,4,6,4,6
64,2012Q1,6,5,14,14,0,0,0.0,843740.0,0,0.0,0.0,64,5,6,5,6
65,2012Q1,6,6,23,22,0,0,0.0,843740.0,0,0.0,0.0,65,6,6,6,6
66,2012Q1,6,7,13,12,0,0,0.0,843740.0,0,0.0,0.0,66,7,6,7,6
67,2012Q1,6,8,32,32,0,0,0.0,843740.0,0,0.0,0.0,67,8,6,8,6
68,2012Q1,6,9,95,85,0,0,0.0,843740.0,0,0.0,0.0,68,9,6,9,6
69,2012Q1,7,0,1,1,0,0,0.0,21530.0,0,0.0,0.0,69,0,7,0,7
70,2012Q1,7,2,4,3,0,0,0.0,21530.0,0,0.0,0.0,70,2,7,2,7
71,2012Q1,7,8,1,0,0,0,0.0,21530.0,0,0.0,0.0,71,8,7,8,7
72,2012Q1,7,9,1,1,0,0,0.0,21530.0,0,0.0,0.0,72,9,7,9,7
73,2012Q1,8,0,1,1,0,0,0.0,23210.0,0,0.0,0.0,73,0,8,0,8
74,2012Q1,8,2,6,5,0,0,0.0,23210.0,0,0.0,0.0,74,2,8,2,8
75,2012Q1,8,4,5,5,0,0,0.0,23210.0,0,0.0,0.0,75,4,8,4,8
76,2012Q1,8,5,1,1,0,0,0.0,23210.0,0,0.0,0.0,76,5,8,5,8
77,2012Q1,8,6,1,1,0,0,0.0,23210.0,0,0.0,0.0,77,6,8,6,8
78,2012Q1,8,8,1,1,0,0,0.0,23210.0,0,0.0,0.0,78,8,8,8,8
79,2012Q1,8,9,1,1,0,0,0.0,23210.0,0,0.0,0.0,79,9,8,9,8
80,2012Q1,9,2,3,3,0,0,0.0,27560.0,0,0.0,0.0,80,2,9,2,9
81,2012Q1,9,4,6,6,0,0,0.0,27560.0,0,0.0,0.0,81,4,9,4,9
82,2012Q1,9,8,3,3,0,0,0.0,27560.0,0,0.0,0.0,82,8,9,8,9
83,2012Q1,9,9,1,1,0,0,0.0,27560.0,0,0.0,0.0,83,9,9,9,9
84,2012Q1,10,0,24,24,0,0,0.0,366210.0,0,0.0,0.0,84,0,10,0,10
85,2012Q1,10,1,3,2,0,0,0.0,366210.0,0,0.0,0.0,85,1,10,1,10
86,2012Q1,10,2,35,29,0,0,0.0,366210.0,0,0.0,0.0,86,2,10,2,10
87,2012Q1,10,3,5,5,0,0,0.0,366210.0,0,0.0,0.0,87,3,10,3,10
88,2012Q1,10,4,58,55,0,0,0.0,366210.0,0,0.0,0.0,88,4,10,4,10
89,2012Q1,10,5,7,6,0,0,0.0,366210.0,0,0.0,0.0,89,5,10,5,10
90,2012Q1,10,6,5,5,0,0,0.0,366210.0,0,0.0,0.0,90,6,10,6,10
91,2012Q1,10,7,5,3,0,0,0.0,366210.0,0,0.0,0.0,91,7,10,7,10
92,2012Q1,10,8,17,17,0,0,0.0,366210.0,0,0.0,0.0,92,8,10,8,10
93,2012Q1,10,9,32,29,0,0,0.0,366210.0,0,0.0,0.0,93,9,10,9,10
94,2012Q1,11,0,67,67,0,0,0.0,411740.0,0,0.0,0.0,94,0,11,0,11
95,2012Q1,11,1,2,2,0,0,0.0,411740.0,0,0.0,0.0,95,1,11,1,11
96,2012Q1,11,2,42,37,0,0,0.0,411740.0,0,0.0,0.0,96,2,11,2,11
97,2012Q1,11,3,8,7,0,0,0.0,411740.0,0,0.0,0.0,97,3,11,3,11
98,2012Q1,11,4,40,38,0,0,0.0,411740.0,0,0.0,0.0,98,4,11,4,11
99,2012Q1,11,5,5,5,0,0,0.0,411740.0,0,0.0,0.0,99,5,11,5,11
100,2012Q1,11,6,10,10,0,0,0.0,411740.0,0,0.0,0.0,100,6,11,6,11
101,2012Q1,11,7,4,4,0,0,0.0,411740.0,0,0.0,0.0,101,7,11,7,11
102,2012Q1,11,8,13,13,0,0,0.0,411740.0,0,0.0,0.0,102,8,11,8,11
