"MonthEnding","Country","DiagnosticTestType","DiagnosticTestDescription","NumberOnList","NumberOnListQF","NumberWaitingOverFourWeeks","NumberWaitingOverFourWeeksQF","NumberWaitingOverSixWeeks","NumberWaitingOverSixWeeksQF"
"20070930","S92000003","Endoscopy","All Endoscopy",10443,"d",3269,"d",1242,"d"
"20071231","S92000003","Endoscopy","All Endoscopy",10930,"d",3776,"d",1371,"d"
"20080131","S92000003","Endoscopy","All Endoscopy",12049,"d",3609,"d",1914,"d"
"20080229","S92000003","Endoscopy","All Endoscopy",11757,"d",3432,"d",1266,"d"
"20080331","S92000003","Endoscopy","All Endoscopy",12395,"d",4055,"d",1509,"d"
"20080430","S92000003","Endoscopy","All Endoscopy",12571,"d",3710,"d",1585,"d"
"20080531","S92000003","Endoscopy","All Endoscopy",11868,"d",3465,"d",1333,"d"
"20080630","S92000003","Endoscopy","All Endoscopy",11747,"d",2924,"d",1081,"d"
"20080731","S92000003","Endoscopy","All Endoscopy",11687,"d",3389,"d",1209,"d"
"20080831","S92000003","Endoscopy","All Endoscopy",10867,"d",2515,"d",956,"d"
"20080930","S92000003","Endoscopy","All Endoscopy",9996,"d",2656,"d",935,"d"
"20081031","S92000003","Endoscopy","All Endoscopy",11456,"d",3013,"d",1131,"d"
"20081130","S92000003","Endoscopy","All Endoscopy",9926,"d",2753,"d",1047,"d"
"20081231","S92000003","Endoscopy","All Endoscopy",9852,"d",2670,"d",998,"d"
"20090131","S92000003","Endoscopy","All Endoscopy",10370,"d",1973,"d",867,"d"
"20090228","S92000003","Endoscopy","All Endoscopy",10826,"d",2040,"d",498,"d"
"20090331","S92000003","Endoscopy","All Endoscopy",9781,"d",970,"d",4,"d"
"20090430","S92000003","Endoscopy","All Endoscopy",10130,"d",1308,"d",15,"d"
"20090531","S92000003","Endoscopy","All Endoscopy",11259,"d",1738,"d",16,"d"
"20090630","S92000003","Endoscopy","All Endoscopy",10760,"d",1272,"d",17,"d"
"20090731","S92000003","Endoscopy","All Endoscopy",10542,"d",1292,"d",31,"d"
"20090831","S92000003","Endoscopy","All Endoscopy",10556,"d",1282,"d",17,"d"
"20090930","S92000003","Endoscopy","All Endoscopy",11506,"d",1561,"d",39,"d"
"20091031","S92000003","Endoscopy","All Endoscopy",11644,"d",1939,"d",34,"d"
"20091130","S92000003","Endoscopy","All Endoscopy",10600,"d",1189,"d",60,"d"
"20091231","S92000003","Endoscopy","All Endoscopy",10799,"d",1277,"d",66,"d"
